Player,pct_2P_2017,pct_0-3_2017,pct_3-10_2017,pct_10-16_2017,pct_16-3P_2017,pct_3P_2017,att_2P_2017,att_0-3_2017,att_3-10_2017,att_10-16_2017,att_16-3P_2017,att_3P_2017
Álex Abrines,.276,.120,.047,.044,.065,.724,.426,.488,.438,.333,.364,.381
Quincy Acy,.471,.265,.065,.076,.059,.529,.413,.489,.273,.308,.400,.411
Quincy Acy,.588,.235,.118,.059,.118,.412,.400,.500,.500,1.000,.000,.143
Quincy Acy,.458,.268,.059,.078,.052,.542,.414,.488,.222,.250,.500,.434
Steven Adams,.998,.557,.388,.046,.005,.002,.572,.655,.488,.367,.000,.000
Arron Afflalo,.640,.100,.117,.186,.236,.360,.457,.571,.449,.449,.424,.411
Alexis Ajinça,.978,.348,.253,.107,.270,.022,.511,.710,.378,.579,.354,.000
Cole Aldrich,1.000,.581,.407,.012,.000,.000,.523,.640,.371,.000,,
LaMarcus Aldridge,.947,.222,.194,.202,.328,.053,.480,.700,.422,.387,.424,.411
Lavoy Allen,.994,.357,.256,.060,.321,.006,.461,.583,.465,.200,.370,.000
Tony Allen,.909,.652,.166,.030,.061,.091,.479,.557,.273,.333,.278,.278
Al-Farouq Aminu,.545,.320,.135,.030,.060,.455,.445,.530,.302,.357,.357,.330
Chris Andersen,.864,.636,.045,.045,.136,.136,.474,.500,1.000,.000,.333,.000
Alan Anderson,.450,.175,.088,.088,.100,.550,.444,.857,.143,.143,.250,.318
Justin Anderson,.558,.319,.128,.057,.050,.442,.522,.707,.339,.280,.136,.299
Justin Anderson,.560,.296,.152,.058,.051,.440,.477,.671,.333,.250,.071,.303
Justin Anderson,.556,.358,.086,.056,.049,.444,.600,.759,.357,.333,.250,.292
Kyle Anderson,.809,.344,.196,.105,.163,.191,.462,.611,.439,.273,.294,.375
Ryan Anderson,.345,.144,.074,.035,.092,.655,.446,.568,.351,.444,.338,.403
Giannis Antetokounmpo,.857,.496,.149,.064,.146,.143,.563,.709,.394,.338,.342,.272
Carmelo Anthony,.697,.127,.076,.211,.284,.303,.466,.563,.419,.437,.457,.359
Joel Anthony,1.000,.563,.313,.125,.000,.000,.625,.778,.400,.500,,
Trevor Ariza,.305,.207,.054,.013,.031,.695,.556,.655,.395,.400,.280,.344
Darrell Arthur,.456,.140,.033,.079,.205,.544,.429,.600,.000,.471,.364,.453
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Ömer Aşık,1.000,.908,.092,.000,.000,.000,.477,.525,.000,,,
D.J. Augustin,.470,.164,.097,.060,.149,.530,.412,.482,.360,.355,.390,.347
Luke Babbitt,.253,.043,.032,.100,.078,.747,.366,.167,.222,.429,.455,.414
Ron Baker,.604,.346,.106,.041,.120,.396,.450,.547,.130,.333,.462,.267
Wade Baldwin,.809,.357,.157,.174,.113,.191,.355,.439,.167,.350,.385,.136
