Player,pct_2P_2010,pct_0-3_2010,pct_3-10_2010,pct_10-16_2010,pct_16-3P_2010,pct_3P_2010,att_2P_2010,att_0-3_2010,att_3-10_2010,att_10-16_2010,att_16-3P_2010,att_3P_2010
Arron Afflalo,.574,.258,.056,.079,.181,.426,.488,.550,.364,.391,.481,.434
Alexis Ajinça,1.000,.400,.200,.100,.300,.000,.500,1.000,.000,.000,.333,
LaMarcus Aldridge,.986,.247,.215,.210,.314,.014,.498,.716,.442,.431,.409,.313
Joe Alexander,.833,.500,.000,.167,.167,.167,.200,.333,,.000,.000,.000
Malik Allen,.948,.198,.060,.112,.578,.052,.409,.435,.143,.538,.403,.167
Ray Allen*,.590,.224,.085,.084,.196,.410,.556,.679,.410,.561,.476,.363
Tony Allen,.980,.640,.142,.071,.126,.020,.520,.667,.250,.278,.219,.000
Rafer Alston,.623,.233,.168,.049,.173,.377,.349,.404,.373,.318,.260,.345
Rafer Alston,.686,.245,.188,.058,.195,.314,.353,.412,.385,.375,.241,.322
Rafer Alston,.521,.213,.136,.036,.136,.479,.341,.389,.348,.167,.304,.370
Lou Amundson,.996,.725,.159,.072,.040,.004,.553,.595,.455,.450,.364,.000
Chris Andersen,.988,.769,.052,.036,.131,.012,.573,.627,.385,.222,.424,.000
David Andersen,.771,.165,.185,.176,.244,.229,.458,.518,.444,.483,.410,.346
Antonio Anderson,1.000,.000,.000,.333,.667,.000,.333,,,1.000,.000,
Ryan Anderson,.456,.330,.034,.018,.075,.544,.514,.586,.308,.429,.310,.370
Carmelo Anthony,.875,.362,.099,.125,.291,.125,.478,.595,.324,.444,.400,.316
Joel Anthony,1.000,.604,.352,.038,.006,.000,.478,.510,.429,.500,.000,
Gilbert Arenas,.706,.203,.110,.093,.300,.294,.437,.528,.353,.421,.411,.348
Trevor Ariza,.593,.329,.055,.062,.146,.407,.436,.571,.218,.194,.315,.334
Hilton Armstrong,.987,.456,.241,.139,.152,.013,.359,.500,.316,.182,.167,.000
Hilton Armstrong,1.000,.500,.220,.120,.160,.000,.380,.560,.364,.000,.125,
Hilton Armstrong,1.000,.500,.250,.167,.083,.000,.333,.500,.333,.000,.000,
Hilton Armstrong,.941,.294,.294,.176,.176,.059,.313,.200,.200,.667,.333,.000
Carlos Arroyo,.933,.115,.032,.173,.613,.067,.489,.488,.417,.554,.474,.280
Darrell Arthur,.993,.370,.219,.144,.260,.007,.434,.481,.500,.429,.316,.000
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Chucky Atkins,.535,.166,.025,.038,.306,.465,.417,.538,.250,.333,.375,.301
D.J. Augustin,.591,.283,.060,.076,.172,.409,.381,.415,.423,.364,.320,.393
Jeff Ayres,1.000,.569,.215,.123,.092,.000,.662,.757,.429,.625,.667,
Kelenna Azubuike,.693,.420,.114,.045,.114,.307,.623,.784,.500,.250,.300,.370
Renaldo Balkman,.611,.389,.056,.056,.111,.389,.545,.857,.000,.000,.000,.000
Marcus Banks,.671,.288,.055,.027,.301,.329,.653,.762,.500,.500,.591,.292
Leandro Barbosa,.627,.323,.082,.058,.164,.373,.485,.610,.367,.286,.367,.324
J.J. Barea,.702,.324,.129,.095,.154,.298,.476,.550,.294,.480,.469,.357
Andrea Bargnani,.716,.198,.148,.144,.226,.284,.509,.664,.497,.479,.399,.372
Matt Barnes,.628,.452,.088,.023,.065,.372,.586,.623,.531,.231,.528,.319
Earl Barron,1.000,.368,.118,.147,.368,.000,.441,.520,.250,.300,.480,
Brandon Bass,1.000,.369,.142,.249,.240,.000,.511,.628,.424,.466,.429,
Tony Battie,.900,.125,.075,.175,.500,.100,.361,.400,.333,.286,.400,.250
Shane Battier,.376,.197,.096,.060,.022,.624,.458,.545,.372,.370,.300,.362
Nicolas Batum,.507,.299,.037,.034,.138,.493,.625,.700,.500,.667,.486,.409
Jerryd Bayless,.810,.360,.054,.070,.325,.190,.437,.540,.192,.265,.401,.315
Michael Beasley,.902,.285,.144,.154,.319,.098,.469,.652,.420,.306,.407,.275
Rodrigue Beaubois,.632,.361,.120,.040,.110,.368,.582,.704,.472,.417,.364,.409
Marco Belinelli,.583,.227,.079,.029,.248,.417,.425,.558,.333,.273,.351,.380
Charlie Bell,.549,.185,.032,.074,.257,.451,.395,.476,.214,.394,.360,.365
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Raja Bell,.557,.033,.033,.066,.426,.443,.471,.500,1.000,.250,.462,.444
Raja Bell,.564,.036,.018,.055,.455,.436,.484,.500,1.000,.333,.480,.375
Raja Bell,.500,.000,.167,.167,.167,.500,.333,,1.000,.000,.000,1.000
