Player,pct_2P_2018,pct_0-3_2018,pct_3-10_2018,pct_10-16_2018,pct_16-3P_2018,pct_3P_2018,att_2P_2018,att_0-3_2018,att_3-10_2018,att_10-16_2018,att_16-3P_2018,att_3P_2018
Álex Abrines,.241,.127,.041,.027,.041,.759,.443,.595,.250,.625,.083,.380
Quincy Acy,.200,.115,.027,.025,.033,.800,.384,.500,.000,.333,.333,.349
Steven Adams,.997,.708,.233,.052,.004,.003,.631,.688,.494,.514,.000,.000
Bam Adebayo,.979,.624,.232,.082,.041,.021,.523,.642,.329,.321,.214,.000
Arron Afflalo,.568,.093,.123,.154,.198,.432,.413,.733,.450,.360,.281,.386
Cole Aldrich,1.000,.533,.467,.000,.000,.000,.333,.250,.429,,,
LaMarcus Aldridge,.932,.275,.212,.256,.189,.068,.526,.735,.446,.438,.431,.293
Jarrett Allen,.962,.668,.232,.038,.023,.038,.599,.698,.380,.333,.333,.333
Kadeem Allen,.500,.318,.091,.091,.000,.500,.545,.571,.500,.500,,.000
Tony Allen,.868,.659,.154,.000,.055,.132,.506,.567,.357,,.200,.333
Al-Farouq Aminu,.418,.215,.120,.026,.057,.582,.432,.608,.314,.133,.152,.369
Justin Anderson,.490,.302,.104,.040,.045,.510,.535,.672,.238,.375,.444,.330
Kyle Anderson,.870,.388,.249,.128,.105,.130,.556,.688,.459,.482,.391,.333
Ryan Anderson,.294,.142,.044,.040,.069,.706,.539,.647,.143,.579,.545,.386
Ike Anigbogu,1.000,.222,.111,.333,.333,.000,.444,.500,.000,.333,.667,
Giannis Antetokounmpo,.900,.454,.173,.114,.160,.100,.554,.756,.355,.350,.339,.307
Carmelo Anthony,.594,.120,.063,.184,.228,.406,.437,.571,.329,.456,.380,.357
OG Anunoby,.431,.353,.049,.014,.014,.569,.604,.697,.235,.200,.000,.371
Ryan Arcidiacono,.244,.098,.098,.000,.049,.756,.800,1.000,.500,,1.000,.290
Trevor Ariza,.290,.220,.052,.008,.011,.710,.519,.636,.176,.000,.143,.368
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Darrell Arthur,.511,.128,.064,.149,.170,.489,.583,1.000,.000,.286,.750,.348
Jamel Artis,.633,.152,.228,.076,.177,.367,.460,.667,.444,.333,.357,.276
Ömer Aşık,1.000,.818,.091,.045,.045,.000,.409,.389,.500,1.000,.000,
Ömer Aşık,1.000,.813,.063,.063,.063,.000,.438,.385,1.000,1.000,.000,
Ömer Aşık,1.000,.833,.167,.000,.000,.000,.333,.400,.000,,,
D.J. Augustin,.496,.241,.146,.054,.054,.504,.485,.569,.367,.414,.517,.419
Luke Babbitt,.274,.042,.056,.102,.074,.726,.525,.444,.667,.455,.563,.385
Luke Babbitt,.339,.054,.071,.125,.089,.661,.544,.444,.667,.476,.600,.441
Luke Babbitt,.043,.000,.000,.021,.021,.957,.000,,,.000,.000,.244
Dwayne Bacon,.776,.182,.104,.193,.302,.224,.409,.629,.400,.324,.328,.256
Ron Baker,.441,.288,.068,.000,.085,.559,.346,.471,.000,,.200,.333
Wade Baldwin,.762,.286,.238,.190,.048,.238,.625,.833,.800,.250,.000,.800
Lonzo Ball,.477,.273,.092,.053,.059,.523,.420,.494,.269,.400,.333,.305
J.J. Barea,.546,.168,.184,.117,.077,.454,.499,.664,.449,.420,.377,.367
Harrison Barnes,.724,.210,.205,.136,.172,.276,.478,.630,.440,.354,.438,.357
Will Barton,.589,.284,.201,.057,.047,.411,.510,.661,.377,.407,.292,.370
Nicolas Batum,.578,.109,.063,.197,.209,.422,.473,.704,.439,.445,.390,.336
Jerryd Bayless,.443,.168,.118,.050,.107,.557,.474,.682,.419,.308,.286,.370
Aron Baynes,.953,.399,.195,.188,.170,.047,.487,.562,.379,.464,.461,.143
Kent Bazemore,.595,.226,.139,.080,.149,.405,.438,.608,.266,.333,.396,.394
Bradley Beal,.643,.206,.104,.146,.187,.357,.507,.682,.394,.463,.414,.375
Malik Beasley,.539,.242,.163,.051,.084,.461,.469,.605,.345,.333,.400,.341
Michael Beasley,.893,.328,.268,.171,.124,.107,.520,.675,.463,.428,.370,.395
Marco Belinelli,.483,.126,.050,.064,.242,.517,.509,.667,.342,.510,.465,.377
Marco Belinelli,.491,.122,.045,.074,.247,.509,.450,.576,.273,.472,.417,.372
Marco Belinelli,.470,.133,.057,.047,.233,.530,.618,.811,.438,.615,.554,.385
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Jordan Bell,.978,.703,.130,.103,.043,.022,.641,.700,.417,.632,.375,.000
DeAndre' Bembry,.766,.500,.148,.109,.008,.234,.429,.516,.211,.286,1.000,.367
Dragan Bender,.335,.180,.099,.025,.031,.665,.426,.575,.313,.167,.133,.366
Dāvis Bertāns,.311,.137,.068,.057,.049,.689,.588,.800,.440,.524,.278,.373
Patrick Beverley,.496,.227,.151,.067,.050,.504,.407,.593,.333,.250,.000,.400
Khem Birch,1.000,.587,.238,.159,.016,.000,.540,.662,.433,.300,.000,
Jabari Bird,.731,.615,.038,.038,.038,.269,.632,.750,.000,.000,.000,.429
Bismack Biyombo,.997,.534,.310,.122,.031,.003,.521,.713,.303,.302,.273,.000
Nemanja Bjelica,.507,.261,.194,.024,.024,.493,.505,.660,.375,.333,.111,.415
Tarik Black,.913,.717,.173,.000,.024,.087,.638,.736,.318,,.000,.091
Antonio Blakeney,.636,.168,.119,.119,.231,.364,.418,.625,.176,.412,.394,.288
Eric Bledsoe,.636,.295,.122,.098,.122,.364,.545,.702,.372,.474,.388,.347
Eric Bledsoe,.675,.350,.125,.100,.100,.325,.444,.643,.200,.250,.250,.308
Eric Bledsoe,.634,.293,.122,.098,.123,.366,.550,.705,.379,.484,.393,.349
Vander Blue,.600,.600,.000,.000,.000,.400,.333,.333,,,,.000
Bogdan Bogdanović,.574,.144,.128,.127,.175,.426,.485,.613,.394,.500,.437,.392
Bojan Bogdanović,.547,.262,.123,.096,.066,.453,.534,.632,.448,.463,.411,.402
Andrew Bogut,1.000,.720,.160,.080,.040,.000,.680,.778,.500,.000,1.000,
Joel Bolomboy,.833,.667,.000,.167,.000,.167,.600,.500,,1.000,,.000
Devin Booker,.636,.180,.143,.176,.137,.364,.460,.611,.351,.400,.451,.383
Trevor Booker,.904,.411,.379,.076,.038,.096,.545,.674,.469,.346,.308,.242
Trevor Booker,.920,.387,.447,.060,.027,.080,.536,.655,.463,.444,.250,.250
Trevor Booker,.936,.477,.339,.092,.028,.064,.578,.769,.459,.200,.000,.286
Trevor Booker,.833,.369,.310,.083,.071,.167,.514,.548,.500,.429,.500,.214
Chris Boucher,.000,.000,.000,.000,.000,1.000,,,,,,.000
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Avery Bradley,.675,.227,.130,.099,.219,.325,.436,.599,.346,.355,.358,.369
Avery Bradley,.660,.221,.125,.098,.216,.340,.423,.571,.338,.375,.341,.381
Avery Bradley,.836,.291,.182,.109,.255,.164,.543,.813,.400,.167,.500,.111
Tony Bradley,.909,.273,.182,.364,.091,.091,.300,.667,.000,.250,.000,.000
Corey Brewer,.652,.509,.101,.019,.022,.348,.539,.602,.281,.167,.571,.282
Corey Brewer,.750,.547,.157,.029,.017,.250,.543,.628,.333,.200,.333,.186
Corey Brewer,.535,.465,.035,.007,.028,.465,.532,.567,.000,.000,.750,.343
Malcolm Brogdon,.680,.374,.127,.115,.064,.320,.532,.660,.297,.414,.469,.385
Aaron Brooks,.551,.203,.130,.145,.072,.449,.447,.429,.333,.500,.600,.355
Dillon Brooks,.658,.275,.142,.118,.123,.342,.484,.651,.445,.341,.295,.356
MarShon Brooks,.686,.216,.206,.127,.137,.314,.457,.545,.524,.538,.143,.594
Anthony Brown,.000,.000,.000,.000,.000,1.000,,,,,,1.000
Bobby Brown,.310,.121,.034,.086,.069,.690,.444,.571,.000,.400,.500,.275
Jaylen Brown,.619,.356,.136,.055,.071,.381,.507,.622,.321,.409,.368,.395
Lorenzo Brown,.647,.088,.235,.176,.147,.353,.545,.667,.625,.333,.600,.167
Markel Brown,.286,.143,.000,.143,.000,.714,.500,.000,,1.000,,.200
Sterling Brown,.556,.268,.137,.083,.068,.444,.439,.527,.250,.529,.357,.352
Nicolás Brussino,.000,.000,.000,.000,.000,1.000,,,,,,.000
Thomas Bryant,.524,.286,.048,.000,.190,.476,.636,.833,.000,,.500,.100
Reggie Bullock,.485,.198,.110,.101,.077,.515,.536,.741,.283,.436,.500,.445
Trey Burke,.727,.161,.102,.169,.294,.273,.556,.726,.410,.462,.566,.362
Alec Burks,.657,.251,.184,.130,.092,.343,.452,.635,.303,.370,.368,.331
Jimmy Butler,.783,.251,.168,.208,.155,.217,.509,.662,.490,.432,.385,.350
Dwight Buycks,.773,.288,.157,.086,.242,.227,.438,.596,.226,.412,.396,.333
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Bruno Caboclo,.452,.161,.097,.161,.032,.548,.429,.600,.000,.600,.000,.176
Bruno Caboclo,.000,.000,.000,.000,.000,1.000,,,,,,.000
Bruno Caboclo,.483,.172,.103,.172,.034,.517,.429,.600,.000,.600,.000,.200
José Calderón,.476,.178,.043,.076,.178,.524,.545,.667,.625,.500,.424,.464
Kentavious Caldwell-Pope,.480,.197,.065,.061,.157,.520,.473,.662,.327,.327,.352,.383
Isaiah Canaan,.518,.314,.146,.036,.022,.482,.423,.349,.650,.200,.333,.333
Isaiah Canaan,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,
Isaiah Canaan,.515,.316,.140,.037,.022,.485,.429,.349,.684,.200,.333,.333
Clint Capela,.999,.802,.180,.016,.000,.001,.653,.718,.385,.455,,.000
DeMarre Carroll,.502,.210,.175,.066,.051,.498,.457,.606,.365,.346,.300,.371
Vince Carter,.417,.170,.092,.042,.113,.583,.483,.583,.308,.583,.438,.345
Michael Carter-Williams,.742,.314,.214,.100,.114,.258,.365,.556,.224,.217,.231,.237
Alex Caruso,.629,.319,.121,.112,.078,.371,.507,.703,.429,.231,.222,.302
Omri Casspi,.894,.507,.300,.082,.005,.106,.595,.705,.452,.471,.000,.455
Willie Cauley-Stein,.984,.459,.301,.076,.146,.016,.506,.676,.339,.288,.434,.250
Tyler Cavanaugh,.414,.270,.079,.033,.033,.586,.556,.585,.417,.600,.600,.360
Mario Chalmers,.569,.242,.142,.106,.079,.431,.456,.542,.333,.404,.486,.277
Tyson Chandler,1.000,.930,.053,.005,.011,.000,.647,.672,.200,1.000,.500,
Wilson Chandler,.610,.279,.209,.063,.060,.390,.501,.665,.394,.250,.368,.358
Marquese Chriss,.602,.371,.113,.061,.057,.398,.509,.621,.278,.379,.370,.295
Ian Clark,.606,.152,.216,.109,.129,.394,.533,.680,.458,.574,.453,.318
Jordan Clarkson,.667,.246,.142,.133,.146,.333,.500,.647,.400,.441,.403,.352
Jordan Clarkson,.685,.264,.147,.121,.153,.315,.505,.670,.429,.346,.422,.324
Jordan Clarkson,.624,.206,.129,.160,.129,.376,.486,.576,.324,.609,.351,.407
Gian Clavell,.167,.000,.056,.056,.056,.833,.000,,.000,.000,.000,.400
Antonius Cleveland,.810,.238,.048,.143,.381,.190,.294,.400,.000,.333,.250,.750
Antonius Cleveland,.929,.357,.000,.143,.429,.071,.308,.400,,.000,.333,.000
Antonius Cleveland,.571,.000,.143,.143,.286,.429,.250,,.000,1.000,.000,1.000
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
John Collins,.914,.589,.167,.110,.050,.086,.598,.732,.341,.417,.259,.340
Zach Collins,.609,.266,.152,.114,.080,.391,.455,.623,.318,.333,.304,.310
Kyle Collinsworth,.828,.354,.384,.081,.010,.172,.415,.486,.395,.250,.000,.235
Darren Collison,.679,.240,.063,.067,.309,.321,.508,.647,.250,.488,.457,.468
Nick Collison,1.000,.737,.211,.000,.053,.000,.684,.714,.750,,.000,
Mike Conley,.542,.250,.137,.095,.060,.458,.440,.571,.391,.250,.300,.312
Pat Connaughton,.462,.231,.115,.051,.064,.538,.506,.667,.311,.500,.280,.352
Quinn Cook,.587,.183,.091,.123,.190,.413,.514,.565,.435,.484,.521,.442
Charles Cooke,.429,.143,.143,.000,.143,.571,.167,.000,.500,,.000,.125
Jack Cooley,1.000,.481,.333,.148,.037,.000,.481,.615,.444,.250,.000,
Matt Costello,1.000,.750,.250,.000,.000,.000,.500,.667,.000,,,
DeMarcus Cousins,.660,.375,.175,.041,.069,.340,.530,.633,.411,.486,.300,.354
Robert Covington,.342,.178,.069,.031,.063,.658,.497,.664,.379,.192,.302,.369
Allen Crabbe,.357,.083,.096,.065,.112,.643,.461,.739,.456,.370,.312,.378
Torrey Craig,.577,.460,.073,.015,.029,.423,.570,.619,.200,.500,.750,.293
Jamal Crawford,.577,.058,.075,.121,.323,.423,.477,.674,.321,.500,.467,.331
Jordan Crawford,.481,.000,.185,.148,.148,.519,.308,,.600,.250,.000,.571
Jae Crowder,.492,.255,.069,.043,.125,.508,.488,.661,.283,.345,.298,.323
Jae Crowder,.497,.279,.064,.024,.130,.503,.508,.676,.250,.222,.327,.328
Jae Crowder,.485,.224,.075,.068,.119,.515,.462,.636,.318,.400,.257,.316
Dante Cunningham,.538,.332,.115,.041,.049,.462,.541,.645,.333,.267,.556,.345
Dante Cunningham,.520,.347,.080,.049,.044,.480,.547,.615,.389,.182,.700,.324
Dante Cunningham,.568,.309,.173,.029,.058,.432,.532,.698,.292,.500,.375,.383
Stephen Curry,.420,.175,.065,.073,.108,.580,.595,.669,.429,.540,.613,.423
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Troy Daniels,.203,.049,.030,.054,.071,.797,.419,.429,.529,.516,.293,.400
Anthony Davis,.889,.374,.201,.157,.157,.111,.558,.744,.483,.428,.339,.340
Deyonta Davis,1.000,.581,.147,.117,.155,.000,.608,.753,.410,.387,.415,
Ed Davis,.997,.695,.267,.031,.003,.003,.584,.670,.385,.444,.000,.000
Dewayne Dedmon,.704,.281,.138,.147,.138,.296,.595,.776,.485,.471,.470,.355
Sam Dekker,.768,.564,.131,.023,.050,.232,.593,.685,.353,.500,.231,.167
Malcolm Delaney,.565,.168,.095,.084,.218,.435,.391,.542,.111,.375,.403,.371
Matthew Dellavedova,.487,.079,.217,.105,.086,.513,.351,.583,.242,.438,.308,.372
Luol Deng,1.000,.500,.500,.000,.000,.000,.500,1.000,.000,,,
DeMar DeRozan,.797,.199,.168,.243,.186,.203,.494,.676,.456,.442,.403,.310
Cheick Diallo,1.000,.477,.239,.176,.108,.000,.580,.750,.452,.484,.263,
Gorgui Dieng,.843,.250,.129,.152,.312,.157,.511,.670,.300,.542,.455,.311
Spencer Dinwiddie,.483,.233,.122,.084,.045,.517,.452,.574,.324,.371,.316,.326
Tyler Dorsey,.479,.173,.094,.068,.147,.521,.393,.500,.333,.192,.393,.362
Damyean Dotson,.578,.211,.062,.118,.186,.422,.538,.588,.400,.684,.433,.324
Milton Doyle,.511,.191,.298,.000,.021,.489,.375,.556,.286,,.000,.174
PJ Dozier,1.000,.500,.000,.000,.500,.000,.500,1.000,,,.000,
Goran Dragić,.721,.269,.171,.175,.106,.279,.481,.630,.380,.436,.342,.370
Larry Drew II,.625,.167,.125,.042,.292,.375,.267,.500,.000,.000,.286,.333
Larry Drew II,.571,.143,.143,.000,.286,.429,.250,1.000,.000,,.000,.000
Larry Drew II,.647,.176,.118,.059,.294,.353,.273,.333,.000,.000,.400,.500
Andre Drummond,.988,.659,.271,.056,.002,.012,.536,.649,.314,.286,.000,.000
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Jared Dudley,.344,.189,.033,.033,.090,.656,.452,.609,.250,.250,.273,.363
Kris Dunn,.799,.263,.168,.179,.189,.201,.457,.543,.393,.387,.460,.321
Kevin Durant,.662,.179,.096,.201,.185,.338,.565,.758,.513,.492,.487,.419
Jarell Eddie,.000,.000,.000,.000,.000,1.000,,,,,,.000
Jarell Eddie,.000,.000,.000,.000,.000,1.000,,,,,,.000
Jarell Eddie,.000,.000,.000,.000,.000,1.000,,,,,,.000
Henry Ellenson,.589,.164,.253,.089,.082,.411,.384,.750,.243,.231,.250,.333
