Player,pct_2P_2016,pct_0-3_2016,pct_3-10_2016,pct_10-16_2016,pct_16-3P_2016,pct_3P_2016,att_2P_2016,att_0-3_2016,att_3-10_2016,att_10-16_2016,att_16-3P_2016,att_3P_2016
Quincy Acy,.771,.458,.121,.037,.154,.229,.606,.735,.385,.500,.424,.388
Jordan Adams,.833,.333,.000,.500,.000,.167,.400,.500,,.333,,.000
Steven Adams,1.000,.721,.258,.016,.005,.000,.613,.655,.500,.571,.500,
Arron Afflalo,.702,.115,.178,.193,.217,.298,.469,.609,.458,.455,.416,.382
Alexis Ajinça,.997,.283,.257,.108,.346,.003,.478,.674,.346,.324,.468,.000
Cole Aldrich,1.000,.560,.427,.013,.000,.000,.596,.667,.521,.000,,
LaMarcus Aldridge,.985,.279,.191,.211,.303,.015,.521,.733,.465,.427,.426,.000
Cliff Alexander,1.000,.400,.300,.100,.200,.000,.500,1.000,.000,.000,.500,
Lavoy Allen,1.000,.381,.273,.103,.243,.000,.516,.709,.446,.289,.389,
Tony Allen,.910,.582,.168,.047,.113,.090,.468,.575,.203,.364,.358,.357
Al-Farouq Aminu,.515,.252,.121,.047,.095,.485,.468,.597,.299,.382,.382,.361
Lou Amundson,1.000,.566,.226,.113,.094,.000,.358,.533,.167,.000,.200,
Chris Andersen,.806,.639,.056,.028,.083,.194,.586,.674,.000,.000,.500,.286
Chris Andersen,.500,.300,.100,.000,.100,.500,.400,.667,.000,,.000,.400
Chris Andersen,.855,.694,.048,.032,.081,.145,.604,.674,.000,.000,.600,.222
Alan Anderson,.373,.153,.085,.102,.034,.627,.409,.556,.200,.333,.500,.324
James Anderson,.517,.253,.152,.051,.062,.483,.478,.622,.407,.000,.455,.267
Justin Anderson,.526,.251,.097,.063,.114,.474,.533,.773,.235,.455,.300,.265
Kyle Anderson,.875,.217,.200,.251,.210,.125,.488,.609,.373,.500,.452,.324
Ryan Anderson,.615,.227,.097,.112,.179,.385,.466,.521,.433,.375,.470,.366
Giannis Antetokounmpo,.892,.509,.180,.058,.143,.108,.537,.684,.346,.288,.359,.257
Thanasis Antetokounmpo,.750,.750,.000,.000,.000,.250,1.000,1.000,,,,.000
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Carmelo Anthony,.763,.213,.087,.208,.255,.237,.463,.540,.404,.423,.453,.339
Joel Anthony,1.000,.500,.200,.300,.000,.000,.600,.800,.000,.667,,
Keith Appling,.625,.250,.000,.125,.250,.375,.400,1.000,,.000,.000,.000
Trevor Ariza,.419,.255,.054,.035,.077,.581,.478,.594,.283,.267,.318,.371
Darrell Arthur,.761,.209,.096,.115,.342,.239,.473,.569,.362,.446,.455,.385
Ömer Aşık,1.000,.851,.133,.015,.005,.000,.533,.590,.231,.000,.000,
D.J. Augustin,.520,.260,.106,.071,.080,.480,.440,.516,.270,.480,.393,.405
D.J. Augustin,.496,.256,.099,.033,.107,.504,.367,.452,.250,.000,.385,.393
D.J. Augustin,.533,.262,.109,.092,.066,.467,.475,.550,.280,.571,.400,.411
Jeff Ayres,.957,.478,.217,.130,.130,.043,.545,.636,.000,1.000,.667,.000
Luke Babbitt,.623,.218,.263,.104,.038,.377,.433,.429,.447,.400,.455,.404
Cameron Bairstow,.875,.275,.250,.150,.200,.125,.343,.273,.300,.500,.375,.200
Leandro Barbosa,.703,.368,.127,.073,.132,.297,.508,.632,.255,.296,.531,.355
J.J. Barea,.634,.193,.243,.113,.086,.366,.481,.591,.405,.525,.393,.385
Andrea Bargnani,.943,.140,.122,.194,.487,.057,.471,.462,.471,.593,.426,.188
Harrison Barnes,.662,.227,.147,.104,.183,.338,.508,.625,.409,.394,.509,.383
Matt Barnes,.466,.270,.107,.029,.061,.534,.449,.561,.311,.400,.214,.322
Will Barton,.669,.297,.181,.091,.103,.331,.476,.599,.399,.393,.327,.345
Brandon Bass,.994,.596,.132,.151,.114,.006,.552,.667,.381,.396,.361,.000
Nicolas Batum,.543,.151,.055,.120,.215,.457,.492,.697,.396,.438,.404,.348
Jerryd Bayless,.471,.149,.101,.069,.156,.529,.408,.492,.295,.400,.397,.437
Aron Baynes,.995,.456,.318,.117,.104,.005,.508,.606,.434,.400,.425,.000
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Kent Bazemore,.579,.390,.080,.026,.083,.421,.502,.594,.276,.368,.333,.357
Bradley Beal,.661,.229,.114,.139,.179,.339,.481,.639,.451,.405,.357,.387
Michael Beasley,.956,.361,.205,.161,.229,.044,.531,.649,.476,.455,.447,.333
Marco Belinelli,.532,.068,.052,.066,.346,.468,.456,.767,.303,.405,.427,.306
Anthony Bennett,.481,.296,.074,.074,.000,.519,.385,.625,.000,.000,,.214
Patrick Beverley,.478,.197,.175,.059,.047,.522,.472,.581,.365,.457,.429,.400
Bismack Biyombo,.997,.656,.205,.101,.035,.003,.544,.640,.322,.448,.300,.000
Nemanja Bjelica,.468,.281,.136,.013,.038,.532,.564,.727,.344,.333,.222,.384
Tarik Black,1.000,.702,.240,.038,.029,.000,.548,.658,.320,.250,.000,
DeJuan Blair,.985,.382,.250,.221,.132,.015,.418,.538,.294,.400,.333,.000
Steve Blake,.371,.104,.050,.058,.158,.629,.461,.720,.250,.214,.447,.344
Eric Bledsoe,.738,.264,.161,.093,.220,.262,.482,.585,.367,.543,.417,.372
Bojan Bogdanović,.549,.258,.147,.076,.069,.451,.474,.601,.336,.316,.462,.382
Andrew Bogut,.996,.677,.258,.047,.014,.004,.626,.757,.375,.231,.250,1.000
Matt Bonner,.404,.123,.105,.070,.105,.596,.609,.429,.833,.750,.500,.441
Devin Booker,.667,.212,.129,.106,.219,.333,.464,.641,.411,.370,.368,.343
Trevor Booker,.894,.601,.186,.039,.070,.106,.513,.635,.306,.133,.222,.293
Chris Bosh*,.711,.206,.086,.149,.270,.289,.508,.715,.364,.456,.425,.365
Avery Bradley,.601,.216,.034,.042,.309,.399,.505,.718,.400,.349,.387,.361
Elton Brand,.986,.153,.125,.514,.194,.014,.437,.727,.444,.270,.643,.000
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Corey Brewer,.594,.330,.149,.051,.065,.406,.460,.593,.268,.393,.278,.272
Aaron Brooks,.606,.237,.186,.102,.083,.394,.430,.468,.425,.396,.359,.357
Anthony Brown,.444,.143,.063,.087,.151,.556,.339,.389,.125,.455,.316,.286
Lorenzo Brown,.680,.200,.080,.160,.240,.320,.412,.600,.500,.250,.333,.125
Markel Brown,.624,.255,.109,.040,.220,.376,.443,.573,.314,.385,.366,.314
Kobe Bryant*,.580,.093,.102,.173,.213,.420,.410,.644,.398,.411,.312,.285
Chase Budinger,.640,.364,.142,.063,.071,.360,.523,.678,.324,.400,.235,.279
Chase Budinger,.644,.330,.155,.072,.088,.356,.488,.656,.333,.357,.235,.290
Chase Budinger,.622,.511,.089,.022,.000,.378,.679,.739,.250,1.000,,.235
Reggie Bullock,.459,.204,.051,.112,.092,.541,.467,.550,.400,.364,.444,.415
Trey Burke,.596,.159,.117,.118,.202,.404,.460,.525,.392,.480,.438,.344
Alec Burks,.763,.278,.168,.132,.186,.237,.412,.570,.321,.341,.306,.405
Caron Butler,.695,.034,.051,.153,.458,.305,.537,.500,.667,.667,.481,.167
Jimmy Butler,.802,.313,.120,.131,.236,.198,.489,.673,.363,.360,.385,.312
Rasual Butler,.529,.183,.115,.106,.135,.471,.618,.789,.250,.455,.786,.306
Bruno Caboclo,.417,.000,.167,.083,.167,.583,.000,,.000,.000,.000,.143
José Calderón,.554,.099,.029,.114,.312,.446,.496,.644,.538,.404,.479,.414
Kentavious Caldwell-Pope,.616,.228,.116,.107,.166,.384,.489,.639,.333,.476,.396,.309
Isaiah Canaan,.328,.130,.096,.047,.057,.672,.354,.489,.261,.294,.244,.363
Clint Capela,.997,.786,.209,.000,.003,.003,.583,.660,.301,,.000,.000
DeMarre Carroll,.563,.219,.207,.063,.074,.437,.388,.576,.286,.235,.250,.390
Vince Carter,.507,.207,.093,.073,.134,.493,.425,.535,.313,.360,.370,.349
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Michael Carter-Williams,.901,.351,.270,.135,.144,.099,.472,.569,.460,.347,.375,.273
Omri Casspi,.559,.280,.256,.023,.003,.441,.537,.661,.440,.214,.000,.409
Willie Cauley-Stein,.994,.602,.271,.065,.056,.006,.567,.667,.457,.364,.263,.000
Mario Chalmers,.664,.320,.203,.056,.086,.336,.461,.528,.411,.360,.395,.309
Mario Chalmers,.656,.313,.188,.031,.125,.344,.429,.500,.167,1.000,.500,.091
Mario Chalmers,.665,.320,.204,.058,.083,.335,.464,.530,.429,.333,.382,.326
Tyson Chandler,.997,.768,.124,.038,.067,.003,.585,.685,.333,.167,.143,.000
Rakeem Christmas,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,
Ian Clark,.584,.238,.139,.114,.094,.416,.500,.625,.357,.391,.526,.357
Coty Clarke,.500,.000,.250,.000,.250,.500,.000,,.000,,.000,1.000
Jordan Clarkson,.709,.261,.195,.106,.149,.291,.468,.540,.477,.379,.384,.347
Norris Cole,.789,.209,.124,.105,.351,.211,.427,.495,.400,.431,.394,.324
Darren Collison,.720,.272,.133,.094,.222,.280,.519,.645,.398,.493,.448,.401
Nick Collison,.982,.523,.294,.073,.092,.018,.467,.509,.406,.500,.400,.000
Mike Conley,.691,.261,.139,.115,.175,.309,.449,.544,.402,.400,.377,.363
Pat Connaughton,.571,.286,.122,.061,.102,.429,.286,.429,.167,.000,.200,.238
Chris Copeland,.294,.137,.078,.020,.059,.706,.467,.714,.500,.000,.000,.278
Bryce Cotton,.700,.100,.200,.000,.400,.300,.571,.000,.500,,.750,.000
Bryce Cotton,.625,.125,.250,.000,.250,.375,.400,.000,.500,,.500,.000
Bryce Cotton,1.000,.000,.000,.000,1.000,.000,1.000,,,,1.000,
DeMarcus Cousins,.842,.360,.286,.035,.161,.158,.473,.595,.412,.255,.358,.333
Robert Covington,.323,.190,.083,.027,.024,.677,.452,.593,.237,.211,.353,.353
Allen Crabbe,.580,.133,.069,.109,.270,.420,.506,.711,.362,.514,.443,.393
Jamal Crawford,.634,.099,.134,.160,.241,.366,.440,.613,.468,.387,.389,.340
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Jae Crowder,.554,.274,.075,.064,.139,.446,.529,.704,.246,.346,.416,.336
Dante Cunningham,.578,.296,.083,.039,.163,.422,.550,.705,.235,.500,.433,.316
Jared Cunningham,.629,.362,.124,.029,.114,.371,.364,.579,.000,.333,.083,.308
Jared Cunningham,.648,.385,.110,.033,.121,.352,.373,.571,.000,.333,.091,.313
Jared Cunningham,.500,.214,.214,.000,.071,.500,.286,.667,.000,,.000,.286
Seth Curry,.504,.089,.147,.071,.196,.496,.460,.700,.394,.563,.364,.450
Stephen Curry,.446,.225,.084,.048,.088,.554,.566,.696,.422,.447,.443,.454
Troy Daniels,.348,.037,.053,.064,.193,.652,.462,.571,.400,.250,.528,.484
Anthony Davis,.905,.299,.195,.165,.246,.095,.511,.697,.396,.420,.434,.324
Ed Davis,1.000,.748,.240,.012,.000,.000,.611,.659,.469,.500,,
Branden Dawson,1.000,.600,.400,.000,.000,.000,.400,.333,.500,,,
Dewayne Dedmon,1.000,.599,.232,.090,.079,.000,.559,.651,.415,.500,.357,
Bryce Dejean-Jones,.536,.319,.014,.058,.145,.464,.432,.455,.000,.250,.500,.375
Sam Dekker,,,,,,,,,,,,
Matthew Dellavedova,.532,.092,.241,.135,.065,.468,.401,.489,.398,.304,.485,.410
Luol Deng,.656,.305,.136,.059,.160,.344,.513,.670,.446,.205,.378,.344
DeMar DeRozan,.899,.226,.213,.214,.247,.101,.458,.630,.433,.415,.359,.338
Boris Diaw,.820,.394,.277,.073,.076,.180,.564,.662,.547,.250,.414,.362
Gorgui Dieng,.965,.387,.197,.157,.223,.035,.540,.710,.395,.462,.434,.300
Spencer Dinwiddie,.815,.333,.185,.148,.130,.185,.409,.611,.100,.375,.429,.100
Toney Douglas,.544,.200,.101,.106,.139,.456,.421,.584,.333,.234,.403,.399
Goran Dragić,.766,.328,.142,.169,.127,.234,.527,.666,.387,.426,.459,.312
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Andre Drummond,.994,.592,.358,.042,.004,.006,.522,.612,.409,.227,.250,.333
Jared Dudley,.511,.127,.027,.057,.298,.489,.534,.758,.385,.464,.469,.420
Duje Dukan,.500,.000,.100,.000,.400,.500,.000,,.000,,.000,.400
Tim Duncan*,.995,.324,.406,.088,.179,.005,.490,.671,.458,.385,.278,.000
Mike Dunleavy,.473,.277,.053,.048,.096,.527,.427,.596,.100,.111,.278,.394
Kevin Durant,.652,.212,.098,.182,.161,.348,.569,.737,.437,.542,.455,.387
Cleanthony Early,.625,.250,.075,.025,.275,.375,.320,.500,.333,.000,.182,.267
Jarell Eddie,.277,.046,.077,.031,.123,.723,.278,.000,.200,.000,.500,.319
Wayne Ellington,.522,.123,.045,.061,.294,.478,.416,.609,.320,.353,.364,.358
Monta Ellis,.724,.236,.088,.109,.292,.276,.472,.593,.478,.441,.383,.309
James Ennis III,.487,.372,.044,.009,.062,.513,.509,.595,.200,.000,.286,.448
James Ennis III,,,,,,,,,,,,
James Ennis III,.385,.231,.000,.000,.154,.615,.400,.667,,,.000,.250
James Ennis III,.500,.390,.050,.010,.050,.500,.520,.590,.200,.000,.400,.480
Tyler Ennis,.791,.380,.144,.187,.080,.209,.480,.563,.296,.486,.400,.333
Jeremy Evans,.667,.521,.063,.021,.063,.333,.688,.760,.333,.000,.667,.250
Tyreke Evans,.729,.513,.070,.016,.127,.271,.450,.509,.227,.000,.400,.388
Festus Ezeli,1.000,.649,.272,.061,.018,.000,.548,.682,.339,.143,.250,
Kenneth Faried,.997,.645,.251,.045,.056,.003,.558,.634,.452,.321,.343,.500
Jordan Farmar,.550,.200,.100,.090,.160,.450,.473,.550,.300,.333,.563,.356
Derrick Favors,.995,.380,.210,.249,.157,.005,.518,.714,.453,.391,.331,.000
Cristiano Felício,.944,.583,.097,.028,.236,.056,.588,.619,.571,.500,.529,.000
Raymond Felton,.688,.217,.198,.073,.199,.312,.463,.635,.400,.380,.368,.282
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Evan Fournier,.580,.300,.125,.053,.103,.420,.506,.634,.405,.388,.313,.400
Randy Foye,.481,.195,.079,.029,.178,.519,.405,.553,.289,.286,.314,.300
Randy Foye,.492,.198,.087,.027,.180,.508,.409,.530,.276,.222,.367,.296
Randy Foye,.456,.188,.060,.034,.174,.544,.397,.607,.333,.400,.192,.309
Tim Frazier,.790,.284,.144,.148,.218,.210,.442,.569,.364,.294,.420,.333
Tim Frazier,.717,.300,.150,.100,.183,.283,.395,.444,.444,.333,.273,.176
Tim Frazier,.817,.278,.142,.166,.231,.183,.457,.617,.333,.286,.462,.419
Jimmer Fredette,.600,.200,.400,.000,.000,.400,.333,1.000,.000,,,.500
Jimmer Fredette,.750,.250,.500,.000,.000,.250,.333,1.000,.000,,,.000
Jimmer Fredette,.000,.000,.000,.000,.000,1.000,,,,,,1.000
Enes Freedom,.971,.620,.159,.120,.072,.029,.579,.650,.447,.512,.365,.476
Channing Frye,.323,.112,.069,.037,.098,.677,.545,.641,.500,.462,.500,.387
Channing Frye,.349,.140,.059,.022,.124,.651,.508,.615,.364,.500,.478,.397
Channing Frye,.292,.081,.081,.056,.068,.708,.596,.692,.615,.444,.545,.377
Danilo Gallinari,.659,.297,.071,.061,.226,.341,.434,.538,.240,.302,.399,.364
Langston Galloway,.619,.235,.097,.060,.228,.381,.423,.580,.421,.371,.276,.344
Kevin Garnett*,.991,.157,.122,.139,.574,.009,.474,.667,.500,.313,.455,.000
Marc Gasol,.996,.164,.328,.240,.263,.004,.463,.595,.448,.424,.435,.667
Pau Gasol,.931,.245,.192,.167,.327,.069,.478,.566,.435,.452,.452,.348
Rudy Gay,.786,.267,.248,.135,.136,.214,.495,.651,.384,.471,.416,.344
Alonzo Gee,.765,.561,.082,.035,.078,.235,.590,.699,.286,.111,.350,.283
Paul George,.609,.168,.081,.118,.242,.391,.447,.602,.415,.351,.397,.371
Taj Gibson,.994,.524,.188,.160,.124,.006,.529,.630,.447,.388,.403,.000
Manu Ginóbili*,.589,.278,.138,.087,.085,.411,.496,.537,.450,.395,.541,.391
