Player,pct_2P_2013,pct_0-3_2013,pct_3-10_2013,pct_10-16_2013,pct_16-3P_2013,pct_3P_2013,att_2P_2013,att_0-3_2013,att_3-10_2013,att_10-16_2013,att_16-3P_2013,att_3P_2013
Corey Brewer,.652,.341,.117,.061,.134,.348,.493,.621,.369,.296,.364,.296
Ronnie Brewer,.616,.313,.020,.061,.222,.384,.385,.500,.250,.333,.250,.303
Ronnie Brewer,.594,.291,.023,.063,.217,.406,.404,.529,.250,.273,.289,.310
Ronnie Brewer,.783,.478,.000,.043,.261,.217,.278,.364,,1.000,.000,.200
Aaron Brooks,.576,.222,.142,.066,.146,.424,.511,.614,.400,.524,.457,.373
Aaron Brooks,.581,.218,.149,.069,.145,.419,.517,.621,.400,.524,.477,.378
Aaron Brooks,.462,.308,.000,.000,.154,.538,.333,.500,,,.000,.286
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
MarShon Brooks,.836,.304,.260,.152,.119,.164,.500,.696,.437,.353,.325,.273
Kwame Brown,1.000,.730,.216,.054,.000,.000,.459,.556,.125,.500,,
Shannon Brown,.753,.306,.067,.061,.319,.247,.467,.663,.316,.343,.335,.277
Kobe Bryant*,.745,.211,.147,.150,.237,.255,.510,.693,.462,.471,.402,.324
Chase Budinger,.576,.236,.084,.068,.188,.424,.482,.644,.313,.385,.389,.321
Alec Burks,.763,.302,.155,.054,.253,.237,.439,.615,.267,.238,.378,.359
Caron Butler,.542,.118,.072,.099,.253,.458,.454,.588,.404,.451,.407,.388
Jimmy Butler,.795,.391,.096,.078,.230,.205,.489,.680,.224,.275,.347,.381
Will Bynum,.859,.389,.189,.074,.207,.141,.494,.600,.402,.325,.438,.316
José Calderón,.556,.110,.019,.079,.348,.444,.516,.714,.083,.500,.480,.461
José Calderón,.538,.070,.025,.083,.359,.462,.505,.607,.100,.545,.503,.429
José Calderón,.586,.177,.008,.072,.329,.414,.532,.786,.000,.412,.436,.520
Marcus Camby,1.000,.491,.245,.113,.151,.000,.321,.462,.077,.333,.250,
DeMarre Carroll,.784,.265,.148,.062,.309,.216,.508,.791,.250,.400,.410,.286
Matt Carroll,,,,,,,,,,,,
Vince Carter,.533,.170,.133,.076,.154,.467,.461,.559,.430,.369,.424,.406
Omri Casspi,.525,.219,.119,.056,.131,.475,.452,.457,.368,.444,.524,.329
Mario Chalmers,.431,.195,.121,.057,.059,.569,.456,.592,.328,.467,.258,.409
Tyson Chandler,1.000,.870,.088,.025,.018,.000,.638,.672,.400,.400,.429,
Wilson Chandler,.723,.334,.200,.081,.108,.277,.480,.632,.407,.351,.245,.413
Josh Childress,.857,.286,.286,.095,.190,.143,.278,.833,.000,.000,.000,.333
Earl Clark,.731,.301,.085,.062,.282,.269,.479,.629,.364,.375,.376,.337
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Victor Claver,.540,.328,.090,.026,.095,.460,.480,.548,.353,.600,.333,.287
Norris Cole,.769,.355,.101,.068,.245,.231,.440,.543,.256,.379,.385,.357
Jason Collins,1.000,.483,.241,.034,.241,.000,.310,.429,.143,.000,.286,
Jason Collins,1.000,.609,.261,.043,.087,.000,.348,.429,.167,.000,.500,
Jason Collins,1.000,.000,.167,.000,.833,.000,.167,,.000,,.200,
Darren Collison,.812,.325,.133,.135,.220,.188,.498,.638,.365,.378,.447,.353
Nick Collison,.986,.541,.172,.074,.199,.014,.603,.700,.549,.591,.390,.000
Mike Conley,.688,.323,.155,.070,.139,.312,.476,.563,.336,.455,.443,.362
Will Conroy,.667,.111,.333,.111,.111,.333,.000,.000,.000,.000,.000,.000
Daequan Cook,.455,.084,.036,.078,.257,.545,.329,.714,.167,.077,.302,.286
Daequan Cook,.492,.085,.068,.068,.271,.508,.345,.600,.250,.000,.375,.367
Daequan Cook,.435,.083,.019,.083,.250,.565,.319,.778,.000,.111,.259,.246
Chris Copeland,.632,.318,.121,.042,.150,.368,.513,.678,.370,.250,.351,.421
DeMarcus Cousins,.979,.382,.281,.066,.250,.021,.471,.639,.402,.324,.332,.182
Jamal Crawford,.610,.098,.136,.114,.262,.390,.477,.640,.500,.474,.406,.376
Jordan Crawford,.661,.171,.161,.120,.208,.339,.455,.532,.419,.448,.424,.337
Jordan Crawford,.663,.128,.154,.140,.242,.337,.451,.569,.423,.437,.415,.345
Jordan Crawford,.654,.272,.180,.074,.129,.346,.465,.492,.410,.500,.464,.320
Jae Crowder,.477,.177,.071,.038,.191,.523,.446,.677,.231,.286,.343,.328
Dante Cunningham,.991,.238,.094,.122,.537,.009,.472,.694,.397,.439,.394,.000
Jared Cunningham,.786,.357,.143,.071,.214,.214,.364,.600,.000,.000,.333,.667
Eddy Curry,1.000,.500,.375,.125,.000,.000,.500,.750,.333,.000,,
Stephen Curry,.568,.100,.103,.099,.265,.432,.449,.583,.343,.457,.438,.453
Samuel Dalembert,.996,.518,.154,.221,.103,.004,.540,.641,.410,.482,.346,1.000
Marquis Daniels,.795,.325,.182,.168,.120,.205,.401,.588,.266,.339,.190,.278
Anthony Davis,.991,.469,.183,.123,.216,.009,.521,.713,.435,.373,.260,.000
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Ed Davis,1.000,.427,.309,.203,.060,.000,.539,.689,.450,.439,.276,
Ed Davis,1.000,.369,.322,.248,.062,.000,.549,.744,.459,.452,.238,
Ed Davis,1.000,.566,.280,.098,.056,.000,.517,.605,.425,.357,.375,
Glen Davis,.996,.312,.234,.180,.270,.004,.450,.658,.402,.395,.287,.000
Austin Daye,.529,.106,.106,.173,.144,.471,.445,.455,.682,.417,.300,.418
Austin Daye,.588,.134,.113,.175,.165,.412,.386,.308,.545,.471,.250,.525
Austin Daye,.477,.081,.099,.171,.126,.523,.509,.667,.818,.368,.357,.345
Nando De Colo,.660,.295,.083,.095,.187,.340,.465,.620,.350,.304,.356,.378
Carlos Delfino,.321,.111,.063,.040,.106,.679,.467,.667,.333,.400,.364,.375
Luol Deng,.787,.305,.142,.086,.254,.213,.455,.619,.342,.362,.353,.322
Justin Dentmon,1.000,.000,.000,.500,.500,.000,.000,,,.000,.000,
DeMar DeRozan,.903,.202,.149,.187,.365,.097,.463,.659,.404,.391,.414,.283
Boris Diaw,.765,.380,.154,.075,.157,.235,.587,.762,.451,.400,.385,.385
DeSagana Diop,.963,.000,.148,.296,.519,.037,.308,,.500,.250,.286,.000
Keyon Dooling,.429,.143,.000,.048,.238,.571,.556,.667,,.000,.600,.417
Toney Douglas,.536,.225,.139,.092,.079,.464,.424,.562,.385,.302,.243,.380
Toney Douglas,.540,.222,.142,.094,.082,.460,.411,.526,.420,.303,.207,.377
Toney Douglas,.526,.237,.132,.088,.070,.474,.467,.667,.267,.300,.375,.389
Chris Douglas-Roberts,.714,.357,.143,.071,.143,.286,.500,.600,.500,.000,.500,.000
Goran Dragić,.695,.292,.100,.143,.159,.305,.497,.664,.341,.369,.403,.319
Andre Drummond,.994,.816,.146,.020,.012,.006,.609,.688,.300,.000,.000,.500
Jared Dudley,.595,.218,.054,.070,.253,.405,.520,.664,.417,.362,.462,.391
Chris Duhon,.260,.089,.065,.016,.089,.740,.438,.545,.375,.000,.455,.363
Tim Duncan*,.993,.295,.246,.177,.275,.007,.504,.701,.417,.405,.433,.286
Mike Dunleavy,.521,.186,.058,.050,.228,.479,.455,.638,.361,.323,.359,.428
Kevin Durant,.767,.220,.166,.195,.186,.233,.539,.737,.471,.475,.432,.416
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Devin Ebanks,.699,.260,.096,.068,.274,.301,.353,.526,.000,.200,.350,.273
Wayne Ellington,.546,.142,.085,.078,.242,.454,.457,.613,.267,.293,.484,.392
Wayne Ellington,.513,.151,.080,.065,.216,.487,.392,.600,.188,.231,.372,.423
Wayne Ellington,.567,.136,.088,.085,.258,.433,.492,.622,.310,.321,.541,.371
Monta Ellis,.772,.286,.132,.119,.235,.228,.454,.624,.323,.386,.355,.287
Kim English,.554,.268,.063,.027,.196,.446,.452,.600,.143,.333,.364,.280
Jeremy Evans,.977,.568,.182,.023,.205,.023,.628,.760,.375,1.000,.444,.000
Reggie Evans,1.000,.697,.249,.034,.019,.000,.479,.544,.338,.222,.400,
Tyreke Evans,.826,.469,.190,.021,.146,.174,.508,.641,.331,.313,.339,.338
Festus Ezeli,1.000,.538,.325,.095,.041,.000,.438,.582,.327,.063,.286,
Kenneth Faried,1.000,.636,.263,.068,.033,.000,.552,.662,.387,.277,.304,
Derrick Favors,.991,.507,.262,.111,.109,.009,.487,.670,.282,.365,.258,.000
Raymond Felton,.707,.298,.125,.060,.224,.293,.455,.582,.382,.226,.389,.360
Landry Fields,.937,.439,.287,.135,.076,.063,.478,.612,.391,.267,.412,.143
Derek Fisher,.503,.081,.068,.087,.267,.497,.309,.462,.182,.286,.302,.375
Derek Fisher,.646,.138,.092,.108,.308,.354,.310,.444,.333,.143,.300,.435
Derek Fisher,.406,.042,.052,.073,.240,.594,.308,.500,.000,.429,.304,.351
