Player,pct_2P_2019,pct_0-3_2019,pct_3-10_2019,pct_10-16_2019,pct_16-3P_2019,pct_3P_2019,att_2P_2019,att_0-3_2019,att_3-10_2019,att_10-16_2019,att_16-3P_2019,att_3P_2019
Álex Abrines,.191,.102,.025,.019,.045,.809,.500,.500,.500,.333,.571,.323
Quincy Acy,.167,.111,.000,.056,.000,.833,.667,1.000,,.000,,.133
Jaylen Adams,.327,.118,.082,.073,.055,.673,.361,.538,.111,.250,.500,.338
Steven Adams,.998,.645,.294,.058,.000,.002,.596,.667,.458,.511,,.000
Bam Adebayo,.969,.572,.243,.121,.033,.031,.588,.716,.415,.373,.438,.200
Deng Adel,.361,.139,.083,.111,.028,.639,.385,.400,.333,.250,1.000,.261
DeVaughn Akoon-Purcell,.600,.500,.000,.000,.100,.400,.500,.600,,,.000,.000
LaMarcus Aldridge,.968,.270,.246,.252,.201,.032,.528,.716,.485,.437,.442,.238
Rawle Alkins,.692,.385,.282,.026,.000,.308,.370,.533,.182,.000,,.250
Grayson Allen,.444,.157,.140,.079,.067,.556,.443,.571,.360,.286,.500,.323
Jarrett Allen,.921,.678,.220,.021,.002,.079,.629,.725,.384,.167,.000,.133
Kadeem Allen,.745,.298,.184,.191,.071,.255,.457,.643,.308,.370,.300,.472
Al-Farouq Aminu,.528,.351,.105,.029,.044,.472,.514,.611,.419,.118,.231,.343
Justin Anderson,.510,.293,.127,.070,.019,.490,.500,.674,.300,.273,.000,.312
Kyle Anderson,.877,.464,.261,.051,.101,.123,.583,.680,.486,.357,.500,.265
Ryan Anderson,.420,.203,.000,.101,.116,.580,.414,.500,,.143,.500,.225
Ryan Anderson,.433,.200,.000,.117,.117,.567,.462,.583,,.143,.571,.206
Ryan Anderson,.333,.222,.000,.000,.111,.667,.000,.000,,,.000,.333
Ike Anigbogu,1.000,.333,.000,.000,.667,.000,.000,.000,,,.000,
Giannis Antetokounmpo,.837,.573,.152,.051,.063,.163,.641,.769,.339,.381,.410,.256
Kostas Antetokounmpo,1.000,.333,.667,.000,.000,.000,.000,.000,.000,,,
Carmelo Anthony,.471,.149,.066,.124,.132,.529,.491,.611,.500,.467,.375,.328
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
OG Anunoby,.500,.347,.109,.022,.022,.500,.574,.693,.273,.333,.444,.332
Ryan Arcidiacono,.481,.172,.165,.091,.053,.519,.527,.597,.449,.579,.455,.373
Trevor Ariza,.410,.262,.091,.023,.034,.590,.493,.611,.224,.294,.440,.334
Trevor Ariza,.388,.251,.097,.013,.026,.612,.409,.491,.227,.000,.500,.360
Trevor Ariza,.420,.267,.088,.028,.037,.580,.528,.662,.222,.357,.421,.322
D.J. Augustin,.541,.267,.137,.075,.061,.459,.511,.646,.333,.353,.512,.421
Deandre Ayton,.995,.478,.217,.154,.146,.005,.588,.733,.556,.410,.346,.000
Dwayne Bacon,.661,.288,.179,.121,.074,.339,.494,.730,.304,.355,.263,.437
Marvin Bagley III,.864,.363,.310,.126,.065,.136,.534,.691,.434,.393,.413,.313
Ron Baker,.350,.250,.000,.000,.100,.650,.429,.400,,,.500,.077
Ron Baker,.438,.313,.000,.000,.125,.563,.429,.400,,,.500,.111
Ron Baker,.000,.000,.000,.000,.000,1.000,,,,,,.000
Wade Baldwin,.727,.303,.182,.091,.152,.273,.333,.300,.333,.333,.400,.222
Lonzo Ball,.500,.309,.096,.046,.048,.500,.482,.596,.295,.238,.364,.329
Mo Bamba,.712,.350,.144,.078,.140,.288,.555,.788,.286,.263,.412,.300
J.J. Barea,.668,.203,.221,.138,.106,.332,.479,.654,.341,.472,.439,.297
Harrison Barnes,.571,.195,.212,.096,.067,.429,.439,.650,.358,.313,.261,.395
Harrison Barnes,.566,.197,.195,.099,.075,.434,.416,.617,.336,.296,.259,.389
Harrison Barnes,.581,.190,.252,.090,.048,.419,.489,.729,.397,.357,.267,.408
Will Barton,.574,.215,.187,.093,.078,.426,.447,.596,.349,.395,.333,.342
Keita Bates-Diop,.634,.345,.127,.077,.085,.366,.522,.735,.278,.273,.250,.250
Nicolas Batum,.470,.210,.077,.084,.100,.530,.519,.661,.442,.383,.393,.389
Jerryd Bayless,.574,.170,.096,.087,.222,.426,.402,.462,.364,.200,.451,.296
Aron Baynes,.726,.462,.157,.072,.036,.274,.519,.573,.429,.500,.250,.344
Kent Bazemore,.566,.279,.109,.078,.100,.434,.465,.611,.213,.296,.464,.320
Bradley Beal,.630,.281,.100,.103,.145,.370,.548,.697,.422,.464,.406,.351
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Malik Beasley,.450,.202,.115,.064,.069,.550,.560,.732,.365,.553,.392,.402
Michael Beasley,.889,.366,.353,.118,.052,.111,.529,.714,.426,.333,.375,.176
Marco Belinelli,.428,.112,.067,.088,.161,.572,.468,.584,.478,.361,.441,.372
Jordan Bell,.990,.484,.109,.172,.224,.010,.521,.688,.381,.455,.279,.000
DeAndre' Bembry,.719,.484,.159,.060,.016,.281,.508,.601,.337,.324,.100,.289
Dragan Bender,.487,.376,.096,.005,.010,.513,.688,.784,.421,.000,.000,.218
Dairis Bertāns,.277,.000,.021,.000,.255,.723,.154,,.000,,.167,.294
Dāvis Bertāns,.254,.073,.071,.057,.053,.746,.513,.758,.344,.500,.417,.429
Patrick Beverley,.409,.187,.182,.029,.010,.591,.421,.494,.379,.286,.200,.397
Khem Birch,.993,.603,.351,.026,.013,.007,.607,.714,.453,.500,.000,.000
Bismack Biyombo,1.000,.647,.224,.083,.045,.000,.571,.673,.400,.385,.286,
Nemanja Bjelica,.567,.319,.199,.022,.027,.433,.539,.635,.441,.231,.375,.401
Antonio Blakeney,.770,.157,.167,.253,.194,.230,.426,.645,.424,.340,.364,.396
Eric Bledsoe,.612,.383,.124,.065,.040,.388,.582,.726,.300,.413,.359,.329
Jaron Blossomgame,.632,.396,.142,.066,.028,.368,.552,.690,.267,.429,.333,.256
Bogdan Bogdanović,.569,.168,.180,.100,.122,.431,.462,.572,.413,.453,.390,.360
Bojan Bogdanović,.633,.303,.144,.119,.068,.367,.538,.676,.377,.416,.479,.425
Andrew Bogut,1.000,.611,.250,.111,.028,.000,.500,.591,.333,.500,.000,
