Player,pct_2P_2022,pct_0-3_2022,pct_3-10_2022,pct_10-16_2022,pct_16-3P_2022,pct_3P_2022,att_2P_2022,att_0-3_2022,att_3-10_2022,att_10-16_2022,att_16-3P_2022,att_3P_2022
Precious Achiuwa,.741,.348,.274,.085,.035,.259,.468,.614,.345,.373,.190,.359
Steven Adams,.997,.693,.260,.042,.003,.003,.548,.632,.350,.438,.000,.000
Bam Adebayo,.992,.395,.309,.200,.088,.008,.562,.771,.467,.404,.313,.000
Santi Aldama,.636,.333,.205,.091,.008,.364,.560,.682,.444,.417,.000,.125
LaMarcus Aldridge,.900,.210,.170,.240,.279,.100,.578,.729,.513,.509,.563,.304
Nickeil Alexander-Walker,.503,.213,.162,.071,.057,.497,.433,.579,.318,.375,.282,.311
Nickeil Alexander-Walker,.517,.217,.166,.074,.060,.483,.434,.584,.333,.362,.263,.311
Nickeil Alexander-Walker,.313,.167,.104,.021,.021,.688,.400,.500,.000,1.000,1.000,.303
Grayson Allen,.316,.158,.097,.047,.014,.684,.533,.678,.400,.370,.375,.409
Jarrett Allen,.982,.624,.294,.046,.018,.018,.688,.809,.469,.480,.600,.100
Jose Alvarado,.626,.235,.248,.099,.044,.374,.538,.609,.507,.483,.462,.291
Justin Anderson,.379,.147,.095,.042,.095,.621,.583,.714,.444,.250,.667,.254
Justin Anderson,.250,.125,.000,.000,.125,.750,1.000,1.000,,,1.000,.333
Justin Anderson,.391,.149,.103,.046,.092,.609,.559,.692,.444,.250,.625,.245
Kyle Anderson,.768,.279,.303,.141,.045,.232,.481,.641,.437,.333,.238,.330
Giannis Antetokounmpo,.806,.406,.198,.120,.082,.194,.616,.808,.421,.416,.431,.293
Thanasis Antetokounmpo,.891,.672,.172,.039,.008,.109,.596,.686,.318,.200,1.000,.143
Carmelo Anthony,.451,.101,.066,.152,.131,.549,.521,.671,.417,.500,.484,.375
Cole Anthony,.571,.147,.214,.095,.115,.429,.432,.590,.385,.448,.305,.338
OG Anunoby,.545,.263,.125,.080,.077,.455,.511,.689,.356,.393,.278,.363
Ryan Arcidiacono,.250,.000,.083,.167,.000,.750,.667,,1.000,.500,,.444
Trevor Ariza,.253,.162,.081,.010,.000,.747,.520,.688,.250,.000,,.270
D.J. Augustin,.261,.131,.086,.018,.027,.739,.448,.586,.368,.250,.167,.415
D.J. Augustin,.294,.162,.074,.022,.037,.706,.400,.545,.300,.000,.200,.406
D.J. Augustin,.209,.081,.105,.012,.012,.791,.556,.714,.444,1.000,.000,.426
Deni Avdija,.553,.221,.261,.040,.031,.447,.525,.633,.464,.435,.389,.317
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Joel Ayayi,.833,.167,.333,.167,.167,.167,.200,.000,.000,1.000,.000,.000
Deandre Ayton,.973,.333,.397,.184,.059,.027,.642,.793,.588,.555,.415,.368
Udoka Azubuike,1.000,.694,.286,.020,.000,.000,.755,.824,.643,.000,,
Marvin Bagley III,.783,.327,.363,.081,.011,.217,.579,.795,.457,.306,.200,.237
Marvin Bagley III,.748,.289,.350,.098,.012,.252,.538,.718,.442,.375,.333,.242
Marvin Bagley III,.825,.375,.380,.060,.010,.175,.624,.867,.474,.167,.000,.229
LaMelo Ball,.549,.204,.176,.104,.065,.451,.462,.582,.398,.389,.370,.389
Lonzo Ball,.321,.154,.047,.057,.063,.679,.423,.610,.333,.273,.167,.423
Mo Bamba,.545,.285,.157,.045,.057,.455,.563,.727,.433,.286,.314,.381
Desmond Bane,.525,.153,.156,.116,.099,.475,.484,.669,.384,.438,.413,.436
Dalano Banton,.748,.332,.233,.119,.064,.252,.464,.612,.362,.292,.385,.255
Cat Barber,1.000,.500,.000,.000,.500,.000,.000,.000,,,.000,
Harrison Barnes,.568,.237,.283,.041,.007,.432,.525,.682,.403,.471,.500,.394
Scottie Barnes,.793,.264,.325,.116,.088,.207,.543,.711,.502,.398,.378,.301
RJ Barrett,.662,.309,.243,.068,.042,.338,.442,.596,.307,.309,.300,.342
Will Barton,.520,.186,.180,.067,.087,.480,.504,.701,.398,.433,.359,.365
Paris Bass,.667,.333,.333,.000,.000,.333,.500,1.000,.000,,,.000
Charles Bassey,.915,.574,.213,.106,.021,.085,.698,.741,.700,.600,.000,.000
Keita Bates-Diop,.791,.502,.198,.046,.046,.209,.572,.682,.385,.500,.250,.309
Nicolas Batum,.302,.121,.044,.057,.080,.698,.607,.809,.412,.636,.387,.400
Kent Bazemore,.424,.173,.094,.058,.101,.576,.271,.333,.308,.125,.214,.363
Darius Bazley,.586,.307,.251,.011,.017,.414,.511,.613,.405,.571,.182,.297
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Bradley Beal,.728,.197,.252,.171,.108,.272,.508,.697,.407,.470,.458,.300
Malik Beasley,.251,.088,.066,.052,.045,.749,.432,.587,.357,.341,.342,.377
