Player,pct_2P_2015,pct_0-3_2015,pct_3-10_2015,pct_10-16_2015,pct_16-3P_2015,pct_3P_2015,att_2P_2015,att_0-3_2015,att_3-10_2015,att_10-16_2015,att_16-3P_2015,att_3P_2015
Quincy Acy,.819,.296,.094,.133,.296,.181,.494,.673,.419,.409,.378,.300
Jordan Adams,.709,.291,.151,.081,.186,.291,.410,.560,.231,.714,.188,.400
Steven Adams,.995,.604,.351,.038,.003,.005,.547,.643,.407,.333,.000,.000
Jeff Adrien,1.000,.523,.250,.114,.114,.000,.432,.522,.273,.400,.400,
Arron Afflalo,.623,.124,.136,.161,.202,.377,.466,.573,.375,.486,.447,.354
Arron Afflalo,.630,.117,.148,.170,.195,.370,.481,.571,.361,.500,.500,.337
Arron Afflalo,.604,.145,.101,.132,.225,.396,.423,.576,.435,.433,.314,.400
Alexis Ajinça,1.000,.353,.340,.198,.106,.000,.550,.603,.563,.508,.429,
Furkan Aldemir,.936,.628,.154,.013,.141,.064,.548,.694,.083,1.000,.364,.000
Cole Aldrich,1.000,.359,.575,.060,.007,.000,.478,.676,.376,.333,.000,
LaMarcus Aldridge,.926,.193,.163,.206,.365,.074,.475,.700,.448,.392,.415,.352
Lavoy Allen,1.000,.314,.217,.090,.378,.000,.472,.702,.400,.259,.372,
Tony Allen,.936,.690,.165,.031,.051,.064,.505,.564,.333,.500,.261,.345
Al-Farouq Aminu,.653,.412,.134,.036,.070,.347,.485,.619,.250,.538,.120,.274
Lou Amundson,.996,.502,.318,.122,.055,.004,.429,.477,.358,.387,.500,.000
Lou Amundson,1.000,.500,.500,.000,.000,.000,.333,.333,.333,,,
Lou Amundson,.996,.502,.309,.128,.058,.004,.434,.484,.360,.387,.500,.000
Chris Andersen,.937,.705,.087,.043,.101,.063,.598,.671,.389,.333,.381,.308
Alan Anderson,.523,.230,.111,.095,.084,.477,.530,.683,.449,.452,.297,.348
Kyle Anderson,.876,.258,.213,.180,.225,.124,.359,.565,.316,.250,.250,.273
Ryan Anderson,.508,.214,.092,.082,.119,.492,.457,.558,.463,.333,.356,.340
Giannis Antetokounmpo,.944,.506,.178,.067,.192,.056,.511,.646,.288,.423,.393,.159
Carmelo Anthony,.778,.221,.089,.185,.283,.222,.474,.584,.417,.409,.447,.341
Joel Anthony,1.000,.516,.371,.113,.000,.000,.581,.813,.304,.429,,
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Pero Antić,.416,.240,.034,.037,.105,.584,.455,.549,.400,.273,.323,.301
Trevor Ariza,.390,.225,.047,.035,.081,.610,.485,.615,.349,.188,.338,.350
Darrell Arthur,.714,.138,.063,.138,.375,.286,.471,.623,.458,.434,.431,.236
Ömer Aşık,1.000,.896,.090,.012,.002,.000,.517,.553,.216,.200,.000,
D.J. Augustin,.620,.250,.209,.057,.104,.380,.436,.599,.319,.324,.343,.337
D.J. Augustin,.675,.282,.226,.054,.113,.325,.450,.615,.337,.280,.346,.327
D.J. Augustin,.484,.172,.167,.065,.081,.516,.389,.531,.258,.417,.333,.354
Jeff Ayres,1.000,.653,.189,.116,.042,.000,.579,.710,.389,.273,.250,
Luke Babbitt,.401,.094,.135,.099,.073,.599,.429,.556,.385,.368,.429,.513
Cameron Bairstow,1.000,.357,.143,.071,.429,.000,.214,.200,.000,.000,.333,
Leandro Barbosa,.710,.370,.137,.088,.114,.290,.511,.650,.377,.294,.386,.384
J.J. Barea,.688,.257,.243,.088,.101,.312,.463,.551,.415,.404,.407,.323
Andrea Bargnani,.886,.152,.188,.211,.335,.114,.466,.582,.441,.434,.446,.366
Harrison Barnes,.672,.309,.122,.081,.160,.328,.519,.685,.325,.415,.400,.405
Matt Barnes,.397,.253,.099,.014,.030,.603,.569,.684,.323,.444,.474,.362
Earl Barron,.897,.282,.051,.205,.359,.103,.286,.091,.000,.500,.357,.500
Will Barton,.759,.346,.210,.085,.119,.241,.474,.615,.405,.133,.429,.271
Will Barton,.820,.400,.170,.110,.140,.180,.415,.625,.294,.000,.286,.222
Will Barton,.735,.324,.225,.075,.111,.265,.500,.610,.439,.211,.500,.284
Brandon Bass,.953,.369,.129,.183,.272,.047,.515,.679,.330,.400,.457,.281
Nicolas Batum,.485,.180,.040,.078,.187,.515,.481,.694,.292,.404,.348,.324
Jerryd Bayless,.767,.242,.126,.078,.322,.233,.462,.600,.385,.375,.410,.308
Aron Baynes,.988,.554,.272,.089,.073,.012,.570,.635,.506,.448,.458,.250
Kent Bazemore,.601,.329,.151,.057,.063,.399,.467,.606,.320,.158,.381,.364
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Bradley Beal,.696,.206,.086,.125,.280,.304,.434,.669,.288,.377,.332,.409
Michael Beasley,.840,.208,.184,.226,.222,.160,.472,.614,.513,.458,.319,.235
Marco Belinelli,.511,.130,.079,.077,.226,.489,.471,.607,.270,.472,.462,.374
Jerrelle Benimon,,,,,,,,,,,,
Anthony Bennett,.923,.313,.067,.074,.468,.077,.431,.677,.200,.227,.331,.304
Patrick Beverley,.393,.179,.145,.038,.032,.607,.426,.505,.390,.350,.235,.356
Sim Bhullar,1.000,.000,.500,.500,.000,.000,.500,,1.000,.000,,
Bismack Biyombo,1.000,.737,.231,.022,.011,.000,.543,.657,.233,.250,.000,
Tarik Black,.996,.692,.238,.018,.048,.004,.577,.651,.477,.000,.231,.000
Tarik Black,.988,.735,.241,.000,.012,.012,.549,.623,.350,,.000,.000
Tarik Black,1.000,.674,.237,.026,.063,.000,.589,.664,.533,.000,.250,
DeJuan Blair,1.000,.386,.474,.123,.018,.000,.456,.545,.481,.143,.000,
Steve Blake,.330,.067,.040,.058,.165,.670,.417,.591,.154,.368,.426,.352
Eric Bledsoe,.740,.348,.120,.071,.203,.260,.491,.640,.320,.351,.382,.324
Vander Blue,.667,.400,.100,.000,.167,.333,.350,.500,.000,,.200,.200
Bojan Bogdanović,.556,.269,.130,.082,.075,.444,.531,.710,.387,.362,.326,.355
Andrew Bogut,1.000,.592,.346,.056,.006,.000,.563,.643,.488,.250,.000,
Matt Bonner,.452,.048,.270,.070,.065,.548,.462,.727,.452,.563,.200,.365
Trevor Booker,.819,.375,.209,.101,.134,.181,.518,.724,.351,.404,.290,.345
Carlos Boozer,1.000,.376,.179,.214,.231,.000,.499,.674,.338,.472,.366,
Chris Bosh*,.774,.166,.114,.199,.295,.226,.485,.556,.471,.480,.455,.375
Avery Bradley,.652,.168,.050,.044,.389,.348,.470,.612,.392,.356,.431,.352
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Elton Brand,.989,.168,.147,.337,.337,.011,.447,.688,.357,.406,.406,.000
Corey Brewer,.708,.381,.163,.056,.108,.292,.491,.642,.313,.356,.299,.268
Corey Brewer,.818,.458,.138,.062,.160,.182,.467,.641,.226,.429,.194,.195
Corey Brewer,.666,.352,.172,.053,.088,.334,.503,.642,.340,.323,.373,.284
Aaron Brooks,.617,.267,.180,.097,.073,.383,.442,.523,.388,.430,.300,.387
Jabari Brown,.635,.276,.112,.094,.153,.365,.435,.553,.316,.313,.385,.371
Lorenzo Brown,.770,.369,.131,.148,.123,.230,.489,.556,.438,.333,.533,.214
Markel Brown,.695,.290,.110,.090,.205,.305,.404,.541,.348,.316,.279,.266
Shannon Brown,.632,.421,.000,.053,.158,.368,.333,.500,,.000,.000,.429
Kobe Bryant*,.742,.136,.129,.185,.292,.258,.401,.567,.380,.311,.389,.293
Chase Budinger,.633,.262,.136,.100,.136,.367,.474,.637,.358,.359,.358,.364
Reggie Bullock,.343,.143,.043,.000,.157,.657,.375,.700,.000,,.182,.326
Reggie Bullock,.278,.130,.019,.000,.130,.722,.533,.857,.000,,.286,.385
Reggie Bullock,.563,.188,.125,.000,.250,.438,.111,.333,.000,,.000,.000
Trey Burke,.612,.149,.156,.085,.222,.388,.400,.493,.306,.412,.399,.318
Alec Burks,.773,.290,.177,.083,.223,.227,.409,.494,.340,.280,.403,.382
Caron Butler,.447,.063,.033,.078,.273,.553,.441,.520,.308,.484,.426,.379
Jimmy Butler,.788,.336,.121,.121,.212,.212,.484,.624,.345,.427,.373,.378
Rasual Butler,.545,.141,.066,.104,.234,.455,.450,.671,.412,.315,.388,.387
Dwight Buycks,.725,.300,.075,.125,.225,.275,.379,.417,.000,.800,.222,.636
Will Bynum,.710,.161,.161,.097,.290,.290,.455,.400,1.000,.000,.333,.000
Bruno Caboclo,.750,.250,.417,.000,.083,.250,.222,.667,.000,,.000,.667
Nick Calathes,.826,.360,.263,.109,.093,.174,.456,.618,.400,.296,.174,.256
José Calderón,.599,.102,.025,.102,.370,.401,.415,.611,.333,.333,.389,.415
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Kentavious Caldwell-Pope,.543,.226,.099,.080,.138,.457,.449,.600,.260,.436,.343,.345
Isaiah Canaan,.349,.172,.079,.026,.071,.651,.417,.462,.400,.300,.370,.370
Isaiah Canaan,.359,.214,.061,.023,.061,.641,.447,.536,.125,.333,.500,.381
Isaiah Canaan,.344,.150,.089,.028,.077,.656,.400,.405,.500,.286,.316,.364
