Player,pct_2P_2020,pct_0-3_2020,pct_3-10_2020,pct_10-16_2020,pct_16-3P_2020,pct_3P_2020,att_2P_2020,att_0-3_2020,att_3-10_2020,att_10-16_2020,att_16-3P_2020,att_3P_2020
Steven Adams,.994,.513,.397,.082,.002,.006,.594,.743,.416,.513,1.000,.333
Bam Adebayo,.982,.481,.301,.144,.056,.018,.564,.726,.445,.404,.227,.143
LaMarcus Aldridge,.802,.202,.129,.227,.245,.198,.519,.719,.471,.461,.433,.389
Kyle Alexander,1.000,1.000,.000,.000,.000,.000,.500,.500,,,,
Nickeil Alexander-Walker,.500,.244,.173,.053,.030,.500,.391,.523,.261,.214,.375,.346
Grayson Allen,.438,.151,.179,.104,.004,.562,.545,.711,.444,.500,.000,.404
Jarrett Allen,.987,.755,.211,.019,.002,.013,.658,.746,.367,.444,.000,.000
Kadeem Allen,.636,.159,.182,.227,.068,.364,.500,.571,.375,.600,.333,.313
Al-Farouq Aminu,.581,.267,.244,.000,.070,.419,.320,.435,.190,,.333,.250
Justin Anderson,.237,.211,.026,.000,.000,.763,.444,.375,1.000,,,.207
Kyle Anderson,.743,.260,.263,.136,.085,.257,.541,.663,.506,.400,.500,.282
Ryan Anderson,.286,.143,.000,.143,.000,.714,.500,.000,,1.000,,.200
Giannis Antetokounmpo,.763,.482,.160,.073,.048,.237,.631,.779,.343,.433,.400,.304
Kostas Antetokounmpo,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,
Thanasis Antetokounmpo,.792,.667,.063,.063,.000,.208,.632,.656,.333,.667,,.000
Carmelo Anthony,.711,.193,.105,.238,.175,.289,.448,.530,.476,.419,.380,.385
OG Anunoby,.597,.452,.111,.025,.009,.403,.583,.680,.270,.357,.200,.390
Ryan Arcidiacono,.373,.150,.100,.100,.023,.627,.439,.606,.318,.318,.400,.391
Trevor Ariza,.361,.269,.065,.012,.015,.639,.556,.701,.190,.000,.000,.372
Trevor Ariza,.261,.188,.042,.012,.018,.739,.488,.677,.000,.000,.000,.352
Trevor Ariza,.465,.352,.088,.013,.013,.535,.595,.714,.286,.000,.000,.400
D.J. Augustin,.564,.197,.167,.121,.078,.436,.438,.571,.286,.500,.333,.348
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Deandre Ayton,.977,.461,.227,.188,.100,.023,.553,.725,.411,.393,.386,.231
Dwayne Bacon,.725,.320,.238,.107,.061,.275,.373,.449,.345,.231,.333,.284
Marvin Bagley III,.868,.431,.293,.060,.084,.132,.510,.681,.306,.200,.571,.182
Lonzo Ball,.425,.214,.083,.049,.079,.575,.442,.605,.246,.324,.278,.375
Mo Bamba,.626,.406,.126,.031,.063,.374,.531,.681,.194,.444,.278,.346
J.J. Barea,.589,.266,.150,.101,.072,.411,.434,.582,.290,.286,.400,.376
Harrison Barnes,.662,.294,.285,.058,.025,.338,.501,.691,.363,.304,.300,.381
RJ Barrett,.729,.392,.201,.065,.072,.271,.432,.568,.267,.277,.288,.320
Will Barton,.610,.286,.186,.079,.060,.390,.498,.616,.328,.414,.568,.375
Keita Bates-Diop,.560,.385,.128,.034,.013,.440,.504,.611,.300,.125,.333,.330
Keita Bates-Diop,.544,.354,.136,.039,.015,.456,.500,.644,.250,.125,.333,.330
Keita Bates-Diop,.679,.607,.071,.000,.000,.321,.526,.471,1.000,,,.333
Nicolas Batum,.395,.222,.012,.074,.086,.605,.438,.611,1.000,.333,.000,.286
Aron Baynes,.559,.333,.171,.039,.016,.441,.582,.638,.569,.333,.167,.351
Kent Bazemore,.543,.268,.139,.069,.067,.457,.400,.531,.243,.297,.306,.344
Kent Bazemore,.475,.212,.104,.083,.077,.525,.368,.464,.235,.259,.400,.327
Kent Bazemore,.649,.356,.192,.048,.053,.351,.437,.595,.250,.400,.091,.384
Darius Bazley,.555,.287,.196,.038,.035,.445,.432,.604,.226,.250,.364,.348
Bradley Beal,.631,.239,.141,.135,.115,.369,.515,.689,.397,.438,.387,.353
Malik Beasley,.483,.189,.129,.096,.069,.517,.465,.634,.261,.471,.378,.388
Malik Beasley,.465,.143,.130,.103,.090,.535,.421,.581,.231,.452,.407,.360
Malik Beasley,.506,.249,.129,.086,.043,.494,.517,.672,.300,.500,.300,.426
Marco Belinelli,.433,.086,.048,.048,.252,.567,.412,.667,.200,.333,.380,.376
Jordan Bell,.821,.627,.119,.045,.030,.179,.564,.643,.500,.000,.000,.333
Jordan Bell,.850,.683,.117,.050,.000,.150,.588,.634,.571,.000,,.222
Jordan Bell,.571,.143,.143,.000,.286,.429,.250,1.000,.000,,.000,.667
DeAndre' Bembry,.715,.469,.206,.031,.009,.285,.546,.607,.426,.571,.000,.231
Dragan Bender,.533,.272,.261,.000,.000,.467,.531,.680,.375,,,.349
Dragan Bender,.571,.476,.095,.000,.000,.429,.500,.600,.000,,,.444
Dragan Bender,.521,.211,.310,.000,.000,.479,.541,.733,.409,,,.324
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Dāvis Bertāns,.226,.097,.059,.034,.036,.774,.471,.644,.306,.429,.318,.424
Patrick Beverley,.396,.194,.147,.041,.015,.604,.496,.591,.460,.286,.200,.388
Khem Birch,.993,.476,.448,.063,.007,.007,.514,.706,.344,.222,1.000,.000
Goga Bitadze,.720,.267,.167,.140,.147,.280,.574,.775,.520,.333,.500,.190
Bismack Biyombo,1.000,.604,.320,.065,.011,.000,.543,.702,.315,.278,.000,
Nemanja Bjelica,.510,.253,.198,.031,.029,.490,.541,.630,.465,.450,.368,.419
Eric Bledsoe,.694,.337,.185,.098,.074,.306,.533,.709,.354,.362,.404,.344
Bogdan Bogdanović,.424,.121,.128,.099,.076,.576,.532,.677,.459,.434,.552,.372
Bojan Bogdanović,.511,.195,.207,.080,.029,.489,.479,.698,.361,.333,.259,.414
Bol Bol,.679,.321,.143,.179,.036,.321,.526,.778,.500,.200,.000,.444
Jonah Bolden,.636,.636,.000,.000,.000,.364,.571,.571,,,,.000
Jonah Bolden,.667,.667,.000,.000,.000,.333,1.000,1.000,,,,.000
Jonah Bolden,.625,.625,.000,.000,.000,.375,.400,.400,,,,.000
Marques Bolden,,,,,,,,,,,,
Jordan Bone,.500,.050,.150,.250,.050,.500,.300,1.000,.000,.400,.000,.200
Isaac Bonga,.697,.462,.179,.038,.017,.303,.571,.648,.476,.222,.250,.352
Devin Booker,.690,.228,.136,.213,.112,.310,.549,.720,.463,.487,.424,.354
Chris Boucher,.605,.468,.100,.017,.020,.395,.569,.621,.433,.200,.333,.322
Brian Bowen,.800,.400,.200,.100,.100,.200,.375,.250,1.000,.000,.000,.000
Ky Bowman,.667,.209,.159,.146,.153,.333,.472,.657,.314,.468,.388,.308
Avery Bradley,.548,.170,.091,.076,.211,.452,.510,.646,.429,.448,.457,.364
Tony Bradley,.984,.762,.201,.016,.005,.016,.661,.743,.368,.667,.000,1.000
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Jarrell Brantley,.536,.286,.214,.036,.000,.464,.467,.750,.167,.000,,.231
Ignas Brazdeikis,.591,.273,.136,.045,.136,.409,.385,.833,.000,.000,.000,.111
Corey Brewer,.750,.500,.250,.000,.000,.250,.667,1.000,.000,,,.000
Mikal Bridges,.599,.386,.122,.062,.029,.401,.610,.749,.339,.367,.429,.361
Miles Bridges,.602,.308,.226,.050,.017,.398,.486,.621,.335,.316,.538,.330
Oshae Brissett,.583,.389,.167,.028,.000,.417,.476,.714,.000,.000,,.200
Ryan Broekhoff,.136,.068,.034,.034,.000,.864,.250,.250,.500,.000,,.392
Malcolm Brogdon,.691,.325,.087,.099,.179,.309,.488,.533,.308,.541,.466,.326
Dillon Brooks,.615,.169,.155,.174,.117,.385,.438,.528,.380,.435,.392,.358
Bruce Brown,.785,.391,.347,.036,.011,.215,.470,.600,.355,.250,.200,.344
Charlie Brown Jr.,.526,.263,.211,.053,.000,.474,.300,.200,.500,.000,,.333
Jaylen Brown,.619,.269,.194,.090,.065,.381,.543,.703,.407,.488,.362,.382
Moses Brown,1.000,.800,.200,.000,.000,.000,.400,.375,.500,,,
Sterling Brown,.469,.227,.125,.063,.055,.531,.425,.569,.313,.375,.143,.324
Troy Brown Jr.,.712,.272,.195,.108,.138,.288,.479,.680,.355,.343,.360,.341
Jalen Brunson,.691,.178,.258,.139,.116,.309,.515,.623,.500,.500,.400,.358
Thomas Bryant,.782,.411,.134,.093,.144,.218,.630,.785,.518,.462,.400,.407
Reggie Bullock,.504,.161,.071,.076,.196,.496,.469,.694,.188,.412,.409,.333
Trey Burke,.641,.244,.110,.124,.163,.359,.463,.549,.348,.577,.324,.427
Trey Burke,.701,.252,.118,.134,.197,.299,.483,.688,.200,.588,.320,.421
Trey Burke,.549,.232,.098,.110,.110,.451,.422,.316,.625,.556,.333,.432
Alec Burks,.608,.201,.164,.130,.113,.392,.439,.565,.341,.420,.379,.385
Alec Burks,.627,.213,.168,.128,.118,.373,.424,.516,.347,.390,.408,.375
Alec Burks,.539,.156,.150,.138,.096,.461,.500,.808,.320,.522,.250,.416
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Deonte Burton,.576,.352,.136,.024,.064,.424,.458,.614,.235,.000,.250,.189
Jimmy Butler,.843,.340,.257,.150,.095,.157,.495,.655,.426,.386,.278,.244
Bruno Caboclo,.629,.427,.146,.000,.056,.371,.571,.658,.385,,.400,.182
Bruno Caboclo,.638,.435,.145,.000,.058,.362,.545,.633,.300,,.500,.160
Bruno Caboclo,.600,.400,.150,.000,.050,.400,.667,.750,.667,,.000,.250
Devontae Cacok,1.000,.333,.667,.000,.000,.000,.500,.000,.750,,,
Kentavious Caldwell-Pope,.529,.254,.071,.091,.112,.471,.541,.651,.528,.391,.421,.385
Vlatko Čančar,.600,.400,.133,.000,.067,.400,.556,.667,.500,,.000,.167
Clint Capela,1.000,.760,.232,.008,.000,.000,.629,.722,.333,.333,,
DeMarre Carroll,.500,.242,.167,.091,.000,.500,.515,.563,.364,.667,,.242
DeMarre Carroll,.552,.207,.276,.069,.000,.448,.375,.333,.250,1.000,,.231
DeMarre Carroll,.459,.270,.081,.108,.000,.541,.647,.700,.667,.500,,.250
Jevon Carter,.399,.152,.082,.062,.103,.601,.402,.486,.200,.400,.440,.425
Vince Carter,.336,.079,.082,.102,.072,.664,.451,.417,.560,.419,.409,.302
Wendell Carter Jr.,.915,.571,.204,.096,.044,.085,.564,.694,.286,.515,.267,.207
Michael Carter-Williams,.712,.335,.277,.077,.023,.288,.481,.586,.431,.350,.000,.293
Alex Caruso,.588,.326,.134,.082,.045,.412,.468,.684,.205,.167,.231,.333
Willie Cauley-Stein,.997,.560,.238,.093,.106,.003,.581,.787,.389,.286,.188,.000
Willie Cauley-Stein,1.000,.533,.249,.101,.117,.000,.560,.774,.391,.308,.167,
Willie Cauley-Stein,.978,.711,.178,.044,.044,.022,.705,.844,.375,.000,.500,.000
Tyson Chandler,1.000,1.000,.000,.000,.000,.000,.778,.778,,,,
Wilson Chandler,.339,.098,.164,.038,.038,.661,.597,.722,.533,.286,.857,.306
Joe Chealey,.429,.000,.429,.000,.000,.571,.000,,.000,,,.000
Zylan Cheatham,.889,.667,.111,.111,.000,.111,.750,1.000,.000,.000,,.000
