Player,pct_2P_2012,pct_0-3_2012,pct_3-10_2012,pct_10-16_2012,pct_16-3P_2012,pct_3P_2012,att_2P_2012,att_0-3_2012,att_3-10_2012,att_10-16_2012,att_16-3P_2012,att_3P_2012
Jeff Adrien,1.000,.313,.313,.125,.250,.000,.438,.600,.200,1.000,.250,
Arron Afflalo,.684,.272,.142,.107,.163,.316,.504,.684,.323,.373,.447,.398
Blake Ahearn,.357,.000,.000,.214,.143,.643,.400,,,.333,.500,.222
Solomon Alabi,1.000,.528,.111,.278,.083,.000,.361,.579,.000,.200,.000,
Cole Aldrich,1.000,.548,.429,.024,.000,.000,.524,.696,.333,.000,,
LaMarcus Aldridge,.988,.281,.182,.205,.320,.012,.516,.687,.523,.404,.434,.182
Lavoy Allen,1.000,.222,.210,.240,.329,.000,.473,.676,.600,.400,.309,
Ray Allen*,.525,.148,.085,.103,.189,.475,.463,.685,.405,.373,.366,.453
Tony Allen,.942,.533,.167,.071,.170,.058,.479,.582,.347,.250,.382,.308
Morris Almond,.824,.176,.059,.118,.471,.176,.357,.667,.000,.000,.375,.333
Al-Farouq Aminu,.871,.389,.205,.077,.200,.129,.431,.563,.320,.250,.356,.277
Lou Amundson,1.000,.570,.256,.150,.024,.000,.430,.534,.302,.258,.400,
Chris Andersen,1.000,.713,.074,.037,.176,.000,.546,.623,.500,.750,.211,
Alan Anderson,.570,.148,.106,.106,.211,.430,.383,.619,.267,.200,.367,.393
James Anderson,.609,.322,.121,.040,.126,.391,.443,.679,.238,.429,.045,.279
Ryan Anderson,.443,.296,.065,.020,.062,.557,.496,.594,.265,.400,.298,.393
Carmelo Anthony,.802,.294,.101,.154,.253,.198,.454,.615,.260,.392,.382,.335
Joel Anthony,1.000,.599,.336,.066,.000,.000,.559,.681,.392,.300,,
Gilbert Arenas,.391,.078,.031,.109,.172,.609,.520,.600,.500,.429,.545,.333
Trevor Ariza,.784,.340,.156,.062,.226,.216,.440,.591,.317,.240,.352,.333
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Ömer Aşık,1.000,.788,.186,.013,.013,.000,.506,.545,.379,.500,.000,
D.J. Augustin,.632,.294,.127,.064,.148,.368,.396,.490,.210,.323,.403,.341
