Player,pct_2P_2014,pct_0-3_2014,pct_3-10_2014,pct_10-16_2014,pct_16-3P_2014,pct_3P_2014,att_2P_2014,att_0-3_2014,att_3-10_2014,att_10-16_2014,att_16-3P_2014,att_3P_2014
Quincy Acy,.894,.461,.220,.050,.163,.106,.492,.600,.387,.429,.348,.267
Quincy Acy,.643,.357,.071,.000,.214,.357,.444,.600,1.000,,.000,.400
Quincy Acy,.921,.472,.236,.055,.157,.079,.496,.600,.367,.429,.400,.200
Steven Adams,1.000,.659,.292,.043,.005,.000,.503,.615,.296,.250,.000,
Jeff Adrien,1.000,.560,.222,.098,.120,.000,.520,.617,.426,.333,.394,
Jeff Adrien,1.000,.825,.075,.100,.000,.000,.550,.576,.667,.250,,
Jeff Adrien,1.000,.515,.247,.098,.140,.000,.515,.628,.414,.348,.394,
Arron Afflalo,.703,.157,.081,.161,.304,.297,.473,.591,.366,.509,.420,.427
Alexis Ajinça,.996,.494,.197,.181,.129,.004,.548,.642,.388,.467,.531,.000
Cole Aldrich,1.000,.492,.508,.000,.000,.000,.541,.633,.452,,,
LaMarcus Aldridge,.989,.186,.162,.226,.415,.011,.461,.675,.364,.388,.442,.200
Lavoy Allen,.957,.290,.270,.140,.257,.043,.460,.563,.531,.286,.364,.154
Lavoy Allen,.951,.282,.267,.132,.271,.049,.455,.547,.535,.286,.361,.154
Lavoy Allen,1.000,.353,.294,.206,.147,.000,.500,.667,.500,.286,.400,
Ray Allen*,.431,.166,.063,.087,.118,.569,.530,.622,.471,.511,.438,.375
Tony Allen,.886,.562,.123,.048,.153,.114,.527,.647,.373,.300,.286,.234
Al-Farouq Aminu,.903,.453,.204,.040,.202,.097,.496,.661,.317,.450,.320,.271
Lou Amundson,1.000,.625,.281,.063,.031,.000,.500,.650,.333,.000,.000,
Lou Amundson,1.000,.625,.281,.063,.031,.000,.500,.650,.333,.000,.000,
Lou Amundson,,,,,,,,,,,,
Chris Andersen,.956,.789,.080,.018,.069,.044,.662,.747,.182,.400,.316,.250
Alan Anderson,.489,.181,.087,.103,.118,.511,.464,.659,.238,.400,.386,.339
James Anderson,.510,.308,.098,.049,.056,.490,.530,.661,.343,.314,.325,.328
Ryan Anderson,.537,.198,.093,.090,.155,.463,.463,.529,.333,.344,.527,.409
Giannis Antetokounmpo,.718,.476,.098,.045,.098,.282,.440,.573,.171,.105,.220,.347
Carmelo Anthony,.747,.191,.078,.199,.279,.253,.469,.589,.320,.443,.447,.402
Joel Anthony,1.000,.281,.375,.281,.063,.000,.375,.444,.417,.333,.000,
Joel Anthony,1.000,.333,.167,.333,.167,.000,.333,.500,1.000,.000,.000,
Joel Anthony,1.000,.269,.423,.269,.038,.000,.385,.429,.364,.429,.000,
Pero Antić,.418,.218,.075,.041,.085,.582,.545,.688,.182,.417,.560,.327
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Trevor Ariza,.482,.254,.070,.033,.124,.518,.509,.650,.300,.214,.415,.407
Hilton Armstrong,1.000,.474,.158,.263,.105,.000,.474,.778,.000,.200,.500,
Darrell Arthur,.844,.146,.076,.095,.527,.156,.399,.517,.226,.333,.403,.375
Ömer Aşık,1.000,.784,.174,.021,.021,.000,.532,.597,.273,.750,.000,
D.J. Augustin,.538,.224,.096,.068,.149,.462,.427,.534,.246,.367,.411,.401
D.J. Augustin,.542,.208,.125,.042,.167,.458,.462,.400,.333,.000,.750,.091
D.J. Augustin,.537,.225,.095,.069,.148,.463,.426,.538,.242,.375,.398,.411
Gustavo Ayón,1.000,.706,.147,.078,.069,.000,.510,.528,.533,.250,.571,
Jeff Ayres,1.000,.644,.167,.109,.080,.000,.580,.714,.345,.421,.214,
Chris Babb,.100,.067,.000,.000,.033,.900,.667,1.000,,,.000,.222
Luke Babbitt,.383,.065,.136,.117,.065,.617,.407,.600,.381,.333,.400,.379
Leandro Barbosa,.809,.427,.183,.076,.122,.191,.462,.625,.250,.500,.188,.280
J.J. Barea,.648,.290,.149,.076,.133,.352,.426,.505,.306,.420,.391,.316
Andrea Bargnani,.785,.207,.165,.147,.265,.215,.487,.615,.434,.365,.489,.278
Harrison Barnes,.720,.224,.225,.138,.131,.280,.419,.592,.386,.255,.360,.347
Matt Barnes,.463,.262,.120,.009,.072,.537,.549,.681,.444,.400,.263,.343
Will Barton,.788,.353,.167,.096,.173,.212,.447,.691,.269,.133,.296,.303
