Player,pct_2P_2021,pct_0-3_2021,pct_3-10_2021,pct_10-16_2021,pct_16-3P_2021,pct_3P_2021,att_2P_2021,att_0-3_2021,att_3-10_2021,att_10-16_2021,att_16-3P_2021,att_3P_2021
Precious Achiuwa,.996,.667,.263,.039,.026,.004,.546,.645,.367,.333,.167,.000
Jaylen Adams,.750,.250,.375,.125,.000,.250,.167,.000,.000,1.000,,.000
Steven Adams,.990,.646,.276,.068,.000,.010,.620,.693,.494,.429,,.000
Bam Adebayo,.990,.353,.303,.225,.110,.010,.573,.794,.471,.456,.386,.250
LaMarcus Aldridge,.730,.152,.122,.152,.304,.270,.505,.622,.472,.444,.489,.388
LaMarcus Aldridge,.698,.109,.129,.125,.335,.302,.509,.630,.438,.452,.518,.360
LaMarcus Aldridge,.896,.375,.083,.292,.146,.104,.488,.611,.750,.429,.143,.800
Ty-Shon Alexander,.250,.083,.000,.000,.167,.750,.333,1.000,,,.000,.222
Nickeil Alexander-Walker,.522,.236,.164,.041,.081,.478,.485,.481,.520,.421,.459,.347
Grayson Allen,.338,.123,.126,.070,.019,.662,.471,.667,.365,.414,.125,.391
Jarrett Allen,.961,.600,.276,.056,.029,.039,.631,.761,.436,.407,.214,.316
Jarrett Allen,1.000,.723,.185,.046,.046,.000,.677,.809,.333,.333,.333,
Jarrett Allen,.954,.580,.290,.058,.026,.046,.623,.752,.446,.417,.182,.316
Al-Farouq Aminu,.626,.273,.242,.030,.081,.374,.484,.519,.417,.000,.750,.216
Al-Farouq Aminu,.652,.281,.247,.034,.090,.348,.500,.560,.409,.000,.750,.226
Al-Farouq Aminu,.400,.200,.200,.000,.000,.600,.250,.000,.500,,,.167
Kyle Anderson,.603,.158,.220,.149,.076,.397,.539,.654,.497,.541,.420,.360
Giannis Antetokounmpo,.799,.451,.193,.094,.062,.201,.636,.837,.401,.359,.324,.303
Kostas Antetokounmpo,1.000,.400,.600,.000,.000,.000,.300,.750,.000,,,
Thanasis Antetokounmpo,.788,.620,.139,.015,.015,.212,.556,.671,.105,.000,.500,.241
Carmelo Anthony,.582,.062,.080,.236,.205,.418,.429,.500,.403,.448,.396,.409
Cole Anthony,.688,.185,.292,.129,.083,.312,.424,.588,.298,.493,.391,.337
OG Anunoby,.497,.256,.173,.040,.027,.503,.562,.759,.344,.381,.357,.398
