Player,pct_2P_2011,pct_0-3_2011,pct_3-10_2011,pct_10-16_2011,pct_16-3P_2011,pct_3P_2011,att_2P_2011,att_0-3_2011,att_3-10_2011,att_10-16_2011,att_16-3P_2011,att_3P_2011
Jeff Adrien,1.000,.574,.315,.093,.019,.000,.426,.581,.235,.000,1.000,
Arron Afflalo,.604,.241,.132,.077,.155,.396,.546,.662,.518,.500,.412,.423
Maurice Ager,.636,.182,.273,.000,.182,.364,.429,1.000,.000,,.500,.750
Alexis Ajinça,.744,.233,.068,.068,.376,.256,.475,.677,.556,.222,.380,.353
Alexis Ajinça,.781,.125,.125,.219,.313,.219,.360,.500,.500,.286,.300,.429
Alexis Ajinça,.733,.267,.050,.020,.396,.267,.514,.704,.600,.000,.400,.333
Solomon Alabi,1.000,.133,.400,.333,.133,.000,.200,1.000,.167,.000,.000,
Cole Aldrich,1.000,.400,.600,.000,.000,.000,.533,1.000,.222,,,
LaMarcus Aldridge,.984,.320,.271,.155,.238,.016,.505,.704,.397,.402,.427,.174
Malik Allen,1.000,.226,.097,.194,.484,.000,.355,.714,.333,.333,.200,
Ray Allen*,.613,.173,.085,.121,.235,.387,.520,.651,.482,.458,.470,.444
Tony Allen,.953,.545,.234,.049,.126,.047,.527,.672,.357,.292,.306,.174
Al-Farouq Aminu,.648,.315,.175,.037,.121,.352,.437,.578,.423,.067,.204,.315
Lou Amundson,1.000,.617,.230,.087,.066,.000,.454,.575,.190,.313,.417,
Chris Andersen,.993,.774,.088,.073,.058,.007,.603,.670,.333,.100,.750,.000
David Andersen,.810,.099,.116,.099,.496,.190,.490,.500,.286,.667,.500,.348
David Andersen,.787,.106,.106,.128,.447,.213,.541,.400,.200,.667,.619,.300
David Andersen,.824,.095,.122,.081,.527,.176,.459,.571,.333,.667,.436,.385
James Anderson,.432,.198,.049,.062,.123,.568,.371,.313,.250,.400,.500,.391
Ryan Anderson,.350,.242,.059,.010,.040,.650,.500,.606,.258,.200,.286,.393
Carmelo Anthony,.833,.321,.101,.124,.286,.167,.470,.594,.309,.353,.440,.378
Carmelo Anthony,.870,.353,.098,.116,.303,.130,.470,.566,.326,.366,.444,.333
Carmelo Anthony,.767,.265,.106,.140,.256,.233,.472,.662,.281,.333,.431,.424
Joel Anthony,1.000,.495,.404,.091,.010,.000,.535,.653,.400,.556,.000,
Gilbert Arenas,.554,.123,.109,.080,.243,.446,.423,.533,.350,.458,.388,.297
Gilbert Arenas,.561,.097,.094,.076,.294,.439,.449,.656,.258,.480,.433,.324
Gilbert Arenas,.550,.144,.121,.084,.200,.450,.401,.466,.408,.441,.333,.275
Trevor Ariza,.644,.286,.165,.064,.129,.356,.450,.674,.246,.204,.337,.303
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Hilton Armstrong,.947,.382,.250,.171,.145,.053,.486,.621,.421,.231,.545,.500
Hilton Armstrong,.953,.391,.266,.188,.109,.047,.492,.640,.471,.250,.429,.333
Hilton Armstrong,.917,.333,.167,.083,.333,.083,.455,.500,.000,.000,.750,1.000
Carlos Arroyo,.747,.051,.044,.103,.549,.253,.436,.500,.417,.393,.440,.449
Carlos Arroyo,.731,.042,.046,.092,.550,.269,.466,.500,.455,.409,.473,.438
Carlos Arroyo,.857,.114,.029,.171,.543,.143,.267,.500,.000,.333,.211,.600
Darrell Arthur,.990,.292,.196,.125,.378,.010,.502,.687,.434,.474,.403,.000
Ömer Aşık,1.000,.872,.121,.007,.000,.000,.553,.593,.235,1.000,,
D.J. Augustin,.652,.312,.109,.045,.187,.348,.461,.545,.279,.372,.447,.333
Luke Babbitt,.709,.273,.236,.036,.164,.291,.308,.467,.308,.000,.111,.188
Renaldo Balkman,.846,.615,.000,.154,.077,.154,.455,.625,,.000,.000,.500
Renaldo Balkman,1.000,.778,.000,.222,.000,.000,.556,.714,,.000,,
Renaldo Balkman,.500,.250,.000,.000,.250,.500,.000,.000,,,.000,.500
Marcus Banks,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,
Leandro Barbosa,.674,.381,.103,.031,.159,.326,.505,.627,.313,.450,.346,.338
J.J. Barea,.709,.308,.197,.089,.114,.291,.476,.630,.344,.379,.365,.349
Andrea Bargnani,.810,.178,.188,.180,.264,.190,.472,.584,.432,.464,.429,.345
Matt Barnes,.616,.387,.151,.018,.061,.384,.564,.676,.381,.200,.412,.318
